Boađus: 1 058
						
Ovddit123Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Vugiid ulbmil lea dahkat stáhta eiseváldiid ja Sámedikki ovttamielalažžan 	áššin 	main árvvoštallo sisafievrredit lágaid ja doaimmaid mat sáhttet váikkuhit njuolga sámi beroštumiide .
Dán barggu rámma siskobealde lea ulbmil buohtasdahttit oahppodilálašvuođaid ja kártet erohusaid daid 	áššin 	mat gusket sámegiela árvui , lágaide , resurssaide , oahppoplánii , hálddašeapmái jna davviriikkaid gaskkas .
Gielddain lea mearridanváldi dáin 	áššin 	ja alimus virgeolbmuin leat viiddis fápmudusat .
Ohcejoga gielda lea árvalan sierra Norggaáittardeaddji 	áššin 	mat gusket rádjeovttasbargui .
Erohus Norgga ja Suoma áittardeaddji doaimmaide man birra leat čállán 5. kapihttalis galgga rádjeovttasbargobuohtalasti leat áššedovdi ja oktavuođaolmmoš 	áššin 	mat gullet sosial- ja dearvvašvuođabálvalusaide rájáid rasta .
Danin evttohuvvo goappaš riikkaide ahte ložžejit gáibádusaid vai livččii bvejolaš spiehkastit gáibádusain soames surggiid ja 	áššin 	nu movt boahta ovdan ovttasbarggus .
Báikkalaš dási ektui evttohuvvo ahte dát 	áššin 	berre nannosit bargat ovddasguvlui nu ahte Norggabealde sáhtaše álggahit sullásaš prošeavtta ja ásahit Suomaáittardeaddji .
Standárdenráđđi , mii lea Ođasmahttin- ja hálddahusdepartemeantta ( FAD ) rávvejeaddji orgána IKT-áššiin , lea meannudan 	áššin 	čállinmearkkaid geavaheami almmolaš hálddahusas .
Suoma sámediggi dál bargá ovttasráđiid Norgga sámedikkiin ja Ruoŧa sámedikkiin oažžut áigái ovdaprošeaktaohcama man 	áššin 	lea dutkan- ja fága // resursaguovddáš .
Porsáŋggu sápmelaččaid Máhkarávjju boazodoallu váldui 	áššin 	Goaskinvákkedikkis 1704:s .
1984:s bođii Deanu luossabivdu 	áššin 	duopmostuoluid ovdii .
Muhtun boares olmmoš muitala ahte ovdalaš áigge eai atnán olbmot 	áššin 	ge go gusat , sávzzat ja bohccot guhto gávpogis .
Landsforeningen for Reiselivet i Norge ( Norgga johtolateallima riikkasearvi ) válddii Davvenjárgga geainnu 	áššin 	1908:s juo .
Goalmmát 	áššin 	lea ahte bivdu ja meahcásteapmi bisttii sis ekonomiija vuođđun , nu go namuhuvvon , guhkit go guđege eará sámi guovllus .
Norgga ja Suoma rádješiehtadallamiid oktavuođas lei nuortalaččaid viidáset eallin guovddáš 	áššin 	.
Maŋimus jagiid ságastallamiin ja riektenákkuin Njávdáma sápmelaččaid árbevirolaš vuoigatvuođaid birra lea guovddáš 	áššin 	leamaš Njávdáma sápmelaččaid boazodoalu sturrodat .
Muhto eatnasat bohte gal maŋit beaivve , nu ahte sáhtte doallat diggečoahkkimiid gos deaŧalaččamus 	áššin 	lei vearrorehkenastin , nappo maŋit jagi vearrogeassin mii galggai čađahuvvot mearragáttis geassemánu .
