Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
» 22 Jesus vástidii : « Jos mun dáhtošin ahte son eallá dassážii go mun boađán , mii das 	guoská 	dutnje ? #ILL Sem/Hum
» Muhto ii Jesus lean cealkán ahte son ii jáme , muhto son celkkii : « Jos mun dáhtošin ahte son eallá dassážii go mun boađán , mii das 	guoská 	dutnje ?#ILL Sem/Hum
28 Mun vuolggahin su vuolás sin Ráđđái , danne go dáhtton gullat mainna sii ledje áššáskuhttimin su. 29 Mun gávnnahin ahte váidalus 	guoskkai 	sin láhkagažaldagaide ii ge masage mii ánssášivččii jápminduomu dahje giddagasa .#ILL 
19 Mii diehtit ahte buot dat maid láhka cealká , 	guoská 	sidjiide geat leat lága vuložat , vai juohke njálbmi buđđojuvvošii ja oppa máilbmi šattašii sivalažžan Ipmila ovddas . #ILL Sem/Hum
9 	Guoská 	go dát ávdugassan máidnojupmi dušše birračuhppojuvvon olbmuide vai maiddái birračuohpakeahtes olbmuide ? #ILL Sem/Hum
25 Dasto , mii 	guoská 	náitalkeahtes olbmuide , de dan áššis mus eai leat gohččumat Hearrás . #ILL Sem/Hum
Dasto , mii 	guoská 	eahpeipmiliidda oaffaruššojuvvon birgui , de das mis gal lea buohkain diehtu . #ILL 
Dasto , oskuguoimmit , mii 	guoská 	Vuoiŋŋa attáldagaide , de mun dáhtošin din dovdat daid . #ILL 
Dasto , mii 	guoská 	dan ruhtaveahkái mii čoggojuvvo searvegoddái , de dahket nugo mun lean gohččon Galatia searvegottiid . #ILL 
33 Muhto dat 	guoská 	maiddái didjiide ge ahte juohkehaš galgá ráhkistit áhkás dego iežas , ja áhkká gis galgá atnit árvvus boatnjás . #ILL Sem/Hum
7 Tykikos muitala didjiide buot mii 	guoská 	munnje . #ILL 
Mii bivdit din , oskuguoimmit , go 	guoská 	Hearrámet Jesus Kristusa boahtimii ja mo mii čoagganit su lusa , 2 ahte ehpet moivašuvaše ehpet ge suorganivčče , jos muhtun čujuhivččii guđege einnostussii , sátnái dahje girjái mii mahkáš boahtá mis , ja dajašii ahte Hearrá beaivi lea juo boahtán .
Ii go dat 	guoskan 	daidda guđet ledje eahpegulolaččat ? #ILL
17 Dan dihtii Ipmil nannii lohpádusas váliin go hálidii čájehit čielgasit sidjiide geaidda lohpádus 	guoská 	, ahte su árvalus ii nuppástuva . #ILL
20 Dasgo sii eai gierdan gullat dán gohččuma : « Jos velá spire ge 	guoská 	várrái , de dat galgá geađgáduvvot . #ILL Sem/Plc
