Hegbom lei hui duhtavaš ja 	giitevaš 	su bargguin . 
Dá oažžu son rásiid 	giitevaš 	váhnemiin . 
Sávan dutnje lihku beaivái ja buot vejolaš buori boahtte áigái , don leat divrras munnje ja lean hui lihkolaš ja 	giitevaš 	ahte don leat mu olmmái :)Dearvvuođat du olbmás , Elle Saras : ) 
‑ Lean otne hui 	giitevaš 	bearrašii ja lagamuččaide , go sis lean ožžon nu olu veahki ja doarjaga . 
Sátnejođiheaddji 	giitevaš 	veteránaide
– Mun lean duhtavaš go ná stuorra oassi musihkkaeallimis Kárášjogas oassálaste konsearttas ja mun lean dieđuš hirbmat 	giitevaš 	dasa , lohká Olstad . 
Son lea 	giitevaš 	rikkis musihkkavásáhusaiguin maid vásiha iežas joavkkuin . 
– Lean hui 	giitevaš 	Sámediggái go sii nagodedje čoavdit dán ášši , lohká Varsi , gii guhká lea ballan ahte mánná ii šat beasa joatkit sámi mánáidgárddis . 
– Mun gal lean nu 	giitevaš 	buohkaide geat leat leamaš mielde doarjut , go in livčče nagodan dán gal okto sin haga . 
Čuojahii boahtit sirdit biilla Dál lea son viimmát ožžon ruovttoluotta iežas 22-jahkásaš Toyota Corolla , ja son lea 	giitevaš 	sutnje guhte čuojahii ja gohčui boahtit sirdit biillaset . 
– Munnje lea stuorra gudni go lean ožžon luohttámuša olbmuin , ja go sihke iežan ja bellodaga ovddas lean dahkan buori válgga , lohká Skanke , gii lea hui 	giitevaš 	jienaiguin maid lea ožžon . 
Son ii šat guoddán bahča miela dovdameahttumin báhcán áhččásis , muhto lei ovdal juo 	giitevaš 	ahte su lei vuolggahan dán máilbmái diekkáraš girjeolmmoš .
Viljo lei agibeaivái 	giitevaš 	ahte su bajásšaddangilážis ásai Heaikka-lágan olmmoš .
Ja galggai geahččalit garvit buot nana dovdduid , su ii heiven eaddudit ja son ieš galggai geahččalit váldit hui ráfálaččat ja leat dušše 	giitevaš 	ahte lei oppanassiige heakkas . 
2004 giđđat Sámi allaskuvla attii munnje vejolašvuođa čađahit dutkanprošeavtta “ Sámegiela buolvvaidgaskasaš sirdáseapmi ” mas mu váldofága bargočájánas lea oassin , ja mun lean 	giitevaš 	dán miehtemielalašvuhtii maid ásahus lea čájehan .
Go Nillá bođii muhtun beaivve , de son árvidii dalán makkár earániin gielddaalmmái dálges lei jođus ja lei 	giitevaš 	ahte boahtti lei Nillá iige gii nu eará . 
Son lea maiddái 	giitevaš 	sidjiide geat bidjet issoras ollu barggu nannet sámegiela , nu ahte giella eallá viidáseappot .
Lean hirbmat 	giitevaš 	Sámediggái go ožžon bálkkašumi , lohká Sagka Stångberg . 
Sámi huksendáiddár 	giitevaš 	sámi servodahkii 
Jose´ Sojo gii lea Venezuela Bolivarian Republihka ambassadevra lohká son lea 	giitevaš 	Sámediggái go su lea bovden Sámedikke 6. áigodaga rahpamii . 
Dál lea son viimmát ožžon ruovttoluotta iežas 22-jahkásaš Toyota Corolla , ja son lea 	giitevaš 	sutnje guhte čuojahii ja gohčui boahtit sirdit biillaset Romssa gávpoga Hamna , Toftveien 47 nammasaš báikkis . 
Danin mus lea miella oahpahit dan maid máhtán , ja lean hui 	giitevaš 	iežan váhnemiidda mat oahpahedje munnje , lohká son . 
Sátnejođiheaddji lea 	giitevaš 	beroštumiin ja geavaha ge vejolašvuođa lohkkiidis giitit beroštumi ovddas . 
John Giæver čállá ahte Kárášjoga gielda galggašii leat 	giitevaš 	ahte Kirstte Ánde badjelis válddii gieldda sátnejođiheaddjidoaimma vai Kárášjoga gieldda olbmot fidnejedje dárbbašlaš gálvvuid . 
Kárášjoga sátnejođiheaddji Kjell Sæther lea 	giitevaš 	Rávdnái go lea leamaš nu áŋgir , vaikke Rávdná lea ráhkadan máŋga váttisvuođa sátnejođiheaddjái jagiid mielde .
Lean 	giitevaš 	Rávdnái go lea nu áŋgir ja lea Kárášjoga ofelaš , dadjá Sæhter . 
– Lean hui 	giitevaš 	sidjiide geat servet ja leat searvan máŋggaid jagiid juo veahkkin lágidit dáid doaluid . 
– Mun gal lean nu 	giitevaš 	buohkaide geat leat leamaš mielde doarjut , go in livčče nagodan dán gal okto sin haga . 
Lei gártat hui divrrasin jus ieža leimme galgat máksit visot , ja Kauto Motor haga ean livčče moai daidda gilvvuide searvame , loahpaha 	giitevaš 	Moeng .
– Dán jagi de viimmat lihkostuvai ja ruđat bohtet erenomážit buorrin go lean olles áigge valáštalli ja čoggojit olu iežanoasit máksit mátkkiid oktavuođas , vaikko Čuoiganlihttu máksá eanaš mu goluid , danin lean erenomáš 	giitevaš 	stipendii , loahpaha son . 
Lean 	giitevaš 	dasa go bellodat lea midjiide addán luohttámuša mearridit iežamet sámepolitihkalaš prográmma . 
Lean 	giitevaš 	dasa go bellodat lea midjiide addán luohttámuša mearridit iežamet sámepolitihkalaš prográmma . 
Buoremus olmmai : Áslat Einar lea 	giitevaš 	su beatnagii ja lohkka ahte dat duođas lea olbmo buoremus ommmai .
– Lean lihkolaš go gádjon heakka ja agibeaivve 	giitevaš 	mu beatnagii , muitala Aslat Einar .
