# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# speller-regressions.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
# 
FN:ii	FN:i
EO:a	EO
studentaavissas	studeantaaviissas	! multiple errors in compound - no sugg
skuvlajagin	skuvlajagiin	! single error in compound - no sugg
nuppogeahčái	nuppe geahčái	! "nuppe" is marked
nuppogeahčái	nuppi geahčái
vakumas	vakuumis	! still wrong
goldasii	goldásii	! still wrong
sihkarit	sihkkarit	! "sihkarit" is not marked
vuoittohallamin	vuoittáhallamin	! still wrong
čorgedalla	čorgedallá	! still wrong
guovttemiesát	guovttemiesat	! still wrong
skierranis	skieranis	! still wrong
guššalemiin	giššalemiin	! still wrong
jápmina	jápmima	! still wrong
Lulli-Eurohpas	Lulli-Eurohpás	! no spelling suggestion
birrasit	birrasii	! still wrong
oarje-eurohpai	Oarje-Eurohpái	! no spelling suggestion
ilgadeamis	ilgadeamos	! still wrong
eaktudáhtolaččat	eaktodáhtolaččat	! does not get marked
nazisttain	nasisttain	! does not get marked
eahpenášunálalaččat	eahpenášuvnnalaččat	! eahpenášunálalaččat does not get marked
Máttá-Trøndelagas	Mátta-Trøndelágas	! no suggestion
sotnabeaivve		
justiisalávdegoddi		
krimináláššiid	kriminálaáššiid	! missing suggestion
ERUF		! 2007-06-26 speller test report
ERUF:s		
fitnodatčatnosiin		! 2007-06-26 speller test report
ea.		! missing abbreviations (they are in the LexC source files)
jna.		! missing abbreviations
SÁB		! missing acros - they're in the lexicon
NSR		! missing acros - they're in the lexicon
BPA		! missing acros - they're in the lexicon
LO		! missing acros - they're in the lexicon
ođđahistorismma	
nubbi		! missing ordinal
vuosttas		! missing ordinal
almmuhanbargu		! actio compound
muitalanbargu		! actio compound
Almmuhannjuolggadusat		! actio compound
Sámirádioi		! sápmi+N+SgGenCmp#rádio+N+Sg+Ill
abai		!missing particles
ahteson		!missing particles
aitto		!missing particles
almma		!missing particles
ama		!missing particles
amal		!missing particles
amat		!missing particles
!ládje		!missing particles
!láhkai		!missing particles
!ládjii		!missing particles
amma		!missing particles
ammahal		!missing particles
ammal		!missing particles
ammat		!missing particles
ammes		!missing particles
appason		!missing particles
ba		!missing particles
bat		!missing particles
dat		!missing particles
eaigga		!missing particles
eiddo		!missing particles
eigga		!missing particles
eitto		!missing particles
galahal		!missing particles
galahan		!missing particles
galhal		!missing particles
ge			!missing particles
gen		!missing particles
ges		!missing particles
gis		!missing particles
hás		!missing particles
hal		!missing particles
han		!missing particles
na		!missing particles
no		!missing particles
noa		!missing particles
son		!missing particles
jurdagiiid	jurdagiid	#367
divtásiiid	diktásiid	#367 - SUBbed entry
diktásiiid	diktásiid	#367
divtásiid	diktásiid	#367
jurdagiid		#367
diktásiid		#367
čiekciin	čikčiin	#376
čikčiin		#376
láibi-sánis		#380 - WONT FIX IN PLX  nomin. + hyphen comp
šaddat-sánis		#380 - WONT FIX IN PLX  nomin. + hyphen comp
iige		#382 - verb + clitic
itge		#382 - verb + clitic
inge		#382 - verb + clitic
boahtáge		#382 - verb + clitic
muitalage		#382 - verb + clitic
suopmasápmelaš	suomasápmelaš	#397 - bad compounding
guollibusse	guollebusse	#397 - wrong compounding
guollinahkárat	guollenahkárat	#397 - wrong compounding
guollibussiid	guollebussiid	#397 - wrong compounding
albmibussiid	albmebussiid	#397 - wrong compounding
albmigahpiriid	albmegahpiriid	#397 - wrong compounding
albmidoaimmaid	albmedoaimmaid	#397 - wrong compounding
albmigáttiid	albmegáttiid	#397 - wrong compounding
málisbussiid	málesbussiid	#397 - wrong compounding
málisgahpiriid	málesgahpiriid	#397 - wrong compounding
málisdoaimmaid	málesdoaimmaid	#397 - wrong compounding
málisgáttiid	málesgáttiid	#397 - wrong compounding
buođđubussiid	buođđobussiid	#397 - wrong compounding
buođđugahpiriid	buođđogahpiriid	#397 - wrong compounding
buođđudoaimmaid	buođđodoaimmaid	#397 - wrong compounding
buođđugáttiid	buođđogáttiid	#397 - wrong compounding
guollimárffi	guollemárffi	#397 - wrong compounding
guolliášši	guolleášši	#397 - wrong compounding
oaivibusse	oaivebusse	#397 - wrong compounding
oaivinahkárat	oaivenahkárat	#397 - wrong compounding
oaivibussiid	oaivebussiid	#397 - wrong compounding
oaivimárffi	oaivemárffi	#397 - wrong compounding
oaiviášši	oaiveášši	#397 - wrong compounding
Oslobiila	Oslo-biila	#397 - name compounding
Harstadbiila	Harstad-biila	#397 - name compounding
oahppuneavvuid	oahpponeavvuid	#397 - bad compounding
albmebussiid		#397 - wrong compounding
albmegahpiriid		#397 - wrong compounding
albmedoaimmaid		#397 - wrong compounding
albmegáttiid		#397 - wrong compounding
málesbussiid		#397 - wrong compounding
málesgahpiriid		#397 - wrong compounding
málesdoaimmaid		#397 - wrong compounding
málesgáttiid		#397 - wrong compounding
buođđobussiid		#397 - wrong compounding
buođđogahpiriid		#397 - wrong compounding
buođđodoaimmaid		#397 - wrong compounding
buođđogáttiid		#397 - wrong compounding
suomasápmelaš		#397 - bad compounding
guollebusse		#397 - wrong compounding
oaivebussiid		#397 - wrong compounding
guollebussiid		#397 - wrong compounding
Oslo-biila		#397 - name compounding
Harstad-biila		#397 - name compounding
Harstd-biila	Harstad-biila	#397 - name compounding
oahpponeavvuid		#397 - bad compounding
