Dal dovdat ahte dađistaga manas¢(adv,mix|maŋás) mannat.
Mun oaivvildan ahte ii leat riekta ahte dusse¢(adv,conc|dušše) stáhta galgá mearridit, Mikkel Per Persen Sara joatká.
Leahko¢(verb,con|Leatgo) sáhkkii?
Leatgo sáhkii¢(adj,conc|sáhkkii)?
Dasa lassin lágiduvvo oktasaš oassi, mas fáddan¢(noun,á|fáddán) lea juoigan.
Davvi-Amerihká álgoálbmogat leat dan rájes go eurohpalaččat bohte dohko, vásihan vilgesolbmuid dáfus vealáheami¢(noun,á|vealaheami) ja álbmotgoddima.
Gasku¢(noun,svow|Gaska) dehálaš guovddášbáikkiide:
Su. 120 km² lea meahcci, 30 km² lea sáivačáhci ja eanandoallu atná su. 12 km². Riddu lea sullii 8 miilla guhkku¢(pp,conc|guhku).
Muhto dál lea šaddan sierra girjerájus Bajit Durdnosis man namma lea Nordkalottbiblioteket ja mas lea varra¢(adv,á|várra) stuorámus čoakkáldat Davvikalohta birra;
Giella lea masa¢(adv,á|masá) seamma go dat mii Norgga bealde gohčoduvvo kveanagiella dahje gáinnogiella.
Sihke ruovttus ja dáppe lea golmmagielat guovlu gos sihke sámegiela ja kveanagiella/meänkieli lea dulbmojuvvon, muhto áŋke¢(adv,mix|aŋkke) mii riidalit gaskaneamet.
Dán oktavuođas sihtat oktavuođaid Gáivuona nuoraiguin, maiddái singuin geat ásset ieža¢(pron,á|iežá) báikkiin man nu sivas.
Suohkan sihta¢(verb,á|sihtá) cavgilemiid das, mat berrešedje leat mielde siiddus fástaspáltan, reportášain, hábmenjurdagiin jna.
