	## Prospero lea herttot Milanos Itálias, muhto rivvehallá vieljastis válddi.
	## Liissá seavašii sidjiide, viegai vehá dobbelažžii geainnus ja go juvssahalai soalddáhis, de deaškái juo bovnna alde gieđat leabbut ja juolggit háhccut nu ahte ii sihkkarit báhcán eahpečielggasin mas lei jearaldat.
	
    #$ Maŋŋil go eanaeaiggádat vuoittahalle áššis gielddarievttis ja lágamánnerievttis ( sierraoaivilat ) , de eai vuoitán ovdandoallamiiddisetguin Alimusrievttisge .
    #$ Dat mearkkaša ahte iešguđege áššeoasála ieš ferte máksit goluidis , juos nubbi áššeoasálaš ii vuoittáhala áššis oalát .
    #$ Jus gávdnoš gilvvohallan , de čájeha Oslo Universitehta raporta ahte sámi áviissat , sihke annonsahivvodat ja lohku , spiehkastatkeahttá vuoittahallet áviisamárkanis .
    #$ Lea várra ahte sámi buohccijoavkkut ja sámi servodat vuoittahallet gilvvus dikšunfálaldagaid ja dearvvasvuođaruvnnuid alde .
    #$ Sámediggi lea gelbbolašvuođafitnodat ja lea máŋgii vuoittahallan gilvvus geasuheaddji gealbbolašvuođa alde go eat leat sáhttán gilvvohallat bálkká dáfus .
    #$ Ráđđi čujuhii ahte boazodoallu vuoittahallá areáladuohtadanáššiin .
    #$ Dat mearkkaša ahte iešguđege áššeoasálaš ferte máksit goluidis jus nubbi áššoasálaš ii vuoittáhala áššis oalát .
    #$ Mii vuoittahallat dálkkádatgiččus birasoadjebas árbevirolaš ealáhusaid hárrái ja luonddu geavaheapmi ferte čáhkket saji eará dálkkádatdoaibmabijuide .
    #$ Vuoittahallet resursagiččus // Artikler // Valgperiode 2009 - 2013 // Arkiv // Sámediggi - Sametinget
    #$ Vuoittahallet resursagiččus.
    #$ Geir Haugen ii loga vuos ollenge vuoittahallan áššiin Stuoradikki mearrádusa geažil .
    #$ Vaikko ná buorit ovdamunit leat ; eahpelihkostuvvat mii atnit vejolašvuođaideamet ja leat vuoittahallit ruovttuguovllus .
    #$ Nordlys lea dávjá vuoitán Bákteváris ja vuoittáhallan Niitoguolbanis .
    #$ Ráisa vuoittáhalai Gáranasvuonas.
    #$ Guovdageaidnu vuoittáhalai Porsáŋggus.
    #$ Guovdageaidnu vuoittáhalai Porsáŋggus 1 - 5.
    #$ Leige vuosttaš háve go sii vuoittahalle ruovttušiljus , lohká Nordlys:a hárjeheaddji Jan Arthur Hansen .
    #$ Álggos vuoittáhalle suohkanrievttis ja dál gieskat láhkamánnirievttis .
    #$ Joar Eira Rasdal ja Per Oddvbar Holmen bážiiga goabbat moala , go Ráisa vuoittahalai ruovttušiljus 2-3 Suortta vuostá Davvi-Norgga 2. divišuvnnas .
    #$ Máze vuoittahalai Máhkarávjjus.
    #$ Oktii dáhpáhuvvan Ávvira dieđuid mielde lea dušše oktii dáhpáhuvvan Norgga Boazosápmelaččaid Riikkasearvvis ahte jođiheaddji , guhte lea háliidan joatkit , lea vuoittáhallan válggas .
    #$ avvir.no : Vuoittahalle dikkis ikte : Masse dehálaš bálggosbáikkiid ČUOIGAMIIDDA
    #$ Vuoittahalle dikkis ikte : Masse dehálaš bálggosbáikkiid ČUOIGAMIIDDA Åse Márgget Holm margget@avvir.no on 24 June , 2010 02:55:00
    #$ Guovdageaidnu vuoittáhalai B-finálas 1-2 Ávanuorrái .
    #$ Lea maid veara namuhit dan ahte Real Ma-yt ii vuoittáhallan beallefinálas eambbo 2-1 sámi meastáriidda , Johk ´gátte Searaide , ja sii maid vuite bronsafinála .
    #$ Duorastateahkeda čievččai TIL dássálaga 1-1 spánskalaš Athletic Bilbao joavkku vuostá , muhto dát boađus ii doallan TIL bealis go TIL fertii vuoitit dán čiekčama maŋŋel go vuoittáhalle guossešiljus 2-3 .
    #$ Guovdageaidnu vuoittáhalai Fállejogas :
    #$ Ášši manai gitta Alimusrievtti váiddagoddái ja mii hilggui gieldda váidaga go leai vuoittáhallan Lágamánnerievttis maid .
    #$ Buohkat vuoittahalle Genevas.
    #$ Finnmárkku Bargiidbellodaga jođiheaddji Ingalill Olsen vuoittáhalai stivrras , go eanetlohku
    #$ Guovttis ledje nu suhttan go vuoittáhalaiga čuoigamis .
    #$ Muhto nu ii dáhpáhuvvan go vuoittahalle jienasteamis .
    #$ Son deattuha ahte eai gávppašeaddjit vuoittáhala gávppis go dattetge kássas berro gálvvus euro haddi , mii jorgaluvvo beaivvi kurssa mielde .
    #$ Jienasteami vuolde oaččui Dáloniid Listu oalle vuorddekeahttá doarjaga NSR:s , nu ahte ráđđi vuoittahalai áššis vaikke Bargiidbellodat vikkai jienastit vuostá , muhto boađus šattai 20 mielde ja 13 vuostá .
    #$ Guovdageaidnu vuoittáhalai Sállanis.
    #$ – Hilmar Hansen ja Hans Erik Hansen leaba ollislaččat vuoittáhallan áššis , čuožžu árvvoštusas .
    #$ Joavkkut vuoittáhalaiga ruovttušiljus vahkkoloahpas .
    #$ TIL vuoittáhalai muohtašiljus.
    #$ Dovddus lea Njeareveaji ášši buohkaide , gos mearrasápmelaččat vuoittáhalle geaidnohuksenáššis .
    #$ Duorastateahkeda čievččai TIL dássálaga 1-1 spánskalaš Athletic Bilbao joavkku vuostá , muhto dát boađus ii doallan TIL bealis go TIL fertii vuoitit dán čiekčama maŋŋel go vuoittáhalle guossešiljus 2-3 .
    #$ Gávcci boazoeaiggáda vuoittáhalle buhtadusáššis diggerievttis gos gáibide 150.000 ruvnno buhtadussan .
    #$ Njeareveaji geaidnosearvi vuoittáhalle áššiin lágamánnerievttis , ja árvvoštallet dál galget go váidit ášši Alimusriektái .
    #$ Sii vuoittáhallet áššiin ja šaddet lotnut eatnamiid ruđain .
    #$ Áltá vuittii čiekčama 1-0 Linderud Grei joavkku vuostá , mii earet eará vuittii dán jagáš vuosttaš divišuvnna vaikko vuoittahalle Finnmárkkus .
    #$ – Lea buorre go vuoittáhalaimet álggus dáin čiekčamiin .
    #$ Maŋŋá go vuoittáhalle Drammenis Strømsgodset jovkui mannan vahkkoloahpa , de lea dál Rosenborg njunnošis , seamma olu čuoggáin go TIL:s , muhto buoret moallaerohus .
    #$ Boazodoallu vuoittahalai dikkis :
    #$ Boazodoallu vuoittáhallá giedderiiddus.
    #$ Danne oažžu juo dadjat ahte boazodoallu lea ovdagihtii juo vuoittáhallan giedderiidduin .
    #$ Boazodoallu vuoittáhalli heahtečovdosis.
    #$ Jahkečoahkkimis bođii gal nubbi evttohus NBR stivrra evttohassan , namalassii Hans Ole Eira , muhto son vuoittáhalai válggas , go ii ožžon go 13 jiena 30 jienas .
    #$ Vuoittahalle dikkis ikte :
    #$ VUOITTAHALLE DIKKIS : Gasken-Laante orohat vuoittáhalai dikkis ikte go váiddii geassečuoiganlágideddjiid , go doalut leat hehttehussan sin geassebálggoseatnamiin .
    #$ Ávvira dieđuid mielde lea dušše oktii dáhpáhuvvan Norgga Boazosápmelaččaid Riikkasearvvis ahte jođiheaddji , guhte lea háliidan joatkit , lea vuoittáhallan válggas .
    #$ Son vuoittahalai áššis .
    #$ Nuoramus lea oalát vuoittáhallan áššis .
    #$ Nieida gii lea eatni ja áhči luhtte orron lea maid oalát vuoittáhallan áššis dahje muhtun muddui .
    #$ Guovdageaidnu vuoittáhalai B-finálas 1-2 Ávanuorrái .
    #$ Girkonjárga vuoittáhalai Romssas.
    #$ Deanu heaibunsearvvi Runar Berg bođii ges njealjádin maŋŋá go vuoittáhalai bronsafinálas 54 kg luohkás guvttiin gahččamiin .
    #$ Bronsafinála gilvaleaddji Runar Berg lei skurtnjagan go sus lei doaivva vuoitit ja fasket vuoittu , muhto veahá boastut manai ja dat dagahii ahte Runar Berg gahčai ja vuoittáhalai bronsafinálas , muitala Frode Gundersen .
    #$ vuoittáhalai dikkis.
    #$ Bargoaddiid ovdagáttut cagget juvlastuollogeavaheddjiid ja heajus oainnu olbmuid beassamis bargoeallimii nu ahte sii eanemusat vuoittáhallet bargomárkanis , čájeha ođđa Fafo-raporta « Máŋggabealatvuohta ja dásseárvu bargoeallimis » .
    #$ Mii oainnat diibmá vuoittáhalaimet loahppavuorus ja lei hui surgat go eat vuoitán diibmá , muhto dál lei min jáhki , muitala Jørn Inge Eira .
    #$ Deanu heaibu , Maja Erlandsen , vuoittáhalai bronsafinálas geahččalan-Olympiagilvvuin ( OG .
    #$ Vuosttaldeaddjit ballet ge dan go sámegielaoahppit šaddet unnitlohkui dagahit ahte sámegiella vuoittahallá skuvlašiljus .
    #$ ČASKKÁHALLE BEALLEFINÁLAS : Snuspulver Gutter joavku vuoittáhalai beallefinálas Juovlanigát jovkui 5-2 , geat manne viidáset finálii .
    #$ Son bođii ge nubbin dánsungilvvus ja vuoittáhalai loahppagilvvus Agnete Johnsena vuostá .
    #$ « Vuoittáhalli joavkkus » lea dávjá eará historjá !
    #$ Riikkaidgaskasaš duopmostuolut mearridit Jus boazodoallu vuoittahallá Alimusrievttis stuoradiggemearrádusa doallevašvuođa alde , de dat almmotge ii dárbbaš leat loahppaboađus dán áššis .
    #$ Boazodoallu vuoittáhalai Alimusrievttis guohtunvuoigatvuođaid hárrái .
    #$ Dás lea maiddái čujuhuvvon ahte ekonomalaš váikkuhangaskaoamit Davvi-Romssas ja Finnmárkkus dagahedje ahte Loabát vuoittahalai gilvvus oažžut oahpaheddjiid .
    #$ Dat mearkkaša ahte iešguđege áššeoasála ieš ferte máksit goluidis , juos nubbi áššeoasálaš ii vuoittáhala áššis oalát .
    #$ Searvi vuoittahalai áššis.
    #$ Bealli mii govttolaččat lea ávžžuhuvvon juoga dahkat , ii ge áimmahuššan dan , sáhttá vuoittahallat áššis jur dan geažil .
    #$ Borrisen lea áibbas sihkkar dasa ahte Norga vuoittahallá áššis .
    #$ Fitnodat mii vuoittahalai fálaldatgilvvus , iige beasa hukset guovddáža , geahččalii geavahit Eurohpa Ekonomalaš Ovttasbarggu ( EEO ) njuolggadusaid go áššáskuhtii suohkana , dieđiha Klassekampen - áviisa .
    #$ Vaikke vuoittahalle finálas , de ledje Buolbmát sámeskuvlla nieiddat hirbmát duhtavaččat vuoittuide - čáppa gistát .
    #$ Stáhta fertii vuos vuoittahallat eanaáššis Kanáda alimusrievttis .
    #$ Nuorra nieida lei nu suhttan maŋŋel go su joavku , Tromssa joavku Bravo , lei vuoittahallan loahppagilvvus , ahte son bijai buot siva duopmárii .
    #$ Dieđitkeahttá árvaluvvui 24-jahkásaš ja Paltto vuoittáhalai jienasteamis .
    #$ Sámi rievttit vuoittáhallet jaskatvuođas.
    #$ Sámi rievttit , ja earenoamážit boazodoalus , vuoittáhallet jaskatvuođas .
    #$ Muital baicca máid don livččet áigon bargat njealje maŋemus jagi , jus don oaivvildat ahte Bargiidbellodat lea vuoittahallan jienastemiin go guoská dehalaš áššiide Guovdageainnus .
    #$ Stáda vuoittahalai boazoáššis.
    #$ • Karen Marit Utsi vuoittahallá rievttis , muhto gávpotrievtti duomus dovddahuvvui aŋkke eahpádus eiseválddiid áššemeannudeapmái .
    #$ BEHTTON : Muosát gieldda sátnejođiheaddji lea behtton go vuoittahalle gielddarievttis ambulánsariidduin , muhto liikká oaidná buorrin go dehálaš čuoggáide leat ožžon doarjaga rievttis .
    #$ Muosát gielda ii vuollán vaikke vuoittahalle gielddarievttis ambulánsa áššiin .
    #$ Sámi riekteipmárdusa ja ealáhusaid váilevaš ipmárdus lea dávjá dagahan ahte sámit leat vuoittahallan dikkis .
    #$ Sámegiella vuoittahallá interneahtas go sámgiel dihtorčovdosat leat beare heajut .
    #$ Muhto Muosát gielda vuoittahalai gielddarievttis Finnmárkku fylkkagildii .
    #$ Nu movt Ole Heandarat Magga gohčoda dán dakkár dáhpin stáda bealis ahte jos vuoittahallet eanavuoigatvuođaáššiin sámiide rievttis , de dalán bidjet ášši politihkalaš dássái , ja nuppe ládje .
    #$ PFK ii leat vel dán rádjái vuoittahallan ráidočiekčamis .
    #$ Oljogávpesearvi ChevronTexaco sáhttá bággehallat máksit máŋgačuođi miljovnna dollára sáhku ja golahit badjel milliárdda dollára buhtistit nuoskkidemiid , maid 28 jagi oljobohkamiin lea dagahan Ecuadoras Mátta-Amerihkás , jus vuoittáhallá diggeáššis mii lea álggahuvvon boaittobealgávpogogaččas Amazonas arvevuovddi ravddas .
    #$ Boađus lea ahte NSR vuoittahallá politihkas , seammas go goddá sámi kultureallima báikkalaš servviguin .
    #$ Son doarju Terje Tretnes ollislaččat das maid son logai ovddit Min Áiggis ahte NSR vuoittahallá politihkas , seammas go goddá kultuvrra go eai earut politihka ja kultuvrra .
    #$ Boazodoallu vuoittahallá bieggamillopárka-ohcamušain :
    #$ Sii eai hálit vuoittahallat márkanis lobihis doaimmaide mat eai mávsse geatnegahttejuvvon vearuid eaige divvagiid .
    #$ Dat lea leamaš vejolaš maŋŋá go eiseválddit leat vuoittahallan rievttis eamiálbmogiid vuostá geat lea čuoččuhan iežaset rivttiid bivdit meara .
    #$ Buot dát lea dáhpáhuvvan maŋŋá go eiseválddit vuoittahalle rievttis muhtin maori vuostá guhte čuoččuhii rievtti viežžat borramuša mearas .
    #$ Easka go vuoittahalle dikkis , de eiseválddit rievdadišgohte iežaset guolástanpolitihka .
    #$ Lea čájehuvvon ahte vuoigatvuođaáššit eai ceavzze Norgga duopmostuoluin , dego Aursunden ášši mii vuoittahalai alimusrievttis , lohká Trosten .
    #$ Dalle oaivvildeimmet ahte lei dehálat sihkarastit oadjebasvuođa ja nannejuvvon vuoigatvuođaid , dan sadjat ahte doarrut prinsihpaid alde ja vuoittahallat jienasteamis ja ii oažžut makkárge vuoigatvuođaid .
    #$ Raporttas leat suokkardallan sáhttágo oba čađahitge bággonjuovvamiid dálá ektui , dainnalágiin ahte Norgga stáda ii vuoittahalaše duopmostuolus jus áššáskuhttojuvvošii .
    #$ Go sii diibmá vuoittahalle rievttis , de riekti oaivvildii ahte sihke biras ja sihkarvuohta lea doarvái váldon vuhtii go Suodjalus bombe Hálkaváris .
    #$ Sii vuoittahalle áššis , muhto sin ášši fuomášahtii sápmelaččaid vuoigatvuođadili ja dat dáhpáhus dagahii Norgga sápmelaččaid oažžut Sámedikki .
    #$ Birger Nymo molssastii listtu go vuoittahalai nominašuvnnas.
    #$ - Mun han álggus serven NSR listui , muhto vuoittahallen nominašuvnnas .
    #$ Muhto ferten gal mieđihit ahte lei bahča vuoittahallat válggas , dadjá Hætta dan botta go May-Bente vuoššan varas gáfehádja haksogoahtá .
    #$ IL Nordlys gánddaid joavku bohte čihččedin , ja juniorat vuoittahalle bronsefinálas ( ráŋggáštusčievččasteapmi ) , nu ahte sii bohte njealjádin .
    #$ Gironvári lunttain ledje 3 sisčiekčan-riikajoavkkučiekčit joavkkus , muhto goit ge sii vuoittahalle njealjádasfinálas Nordpolena vuostá .
    #$ Duopmostuolut leat geavahan dáid boasttudieđuid min vuostá , ja mii leat vuoittahallan dikkiin dan dihtii , lohká Sverre Fjellheim .
    #$ Mun vuoittahallen seavvin-hárjehusas !
    #$ Sámediggepresideanta Aili Keskitalo imašta manne Oarje-Finnmárkku regiuvnnaráđđi áigu boikohttet FO ja šálloša sin mearrádusa ; - Soitet njuolggadusášši geavahit mávssahit go vuoittahalle Finnmárkkuláhka-áššis , lohká Keskitalo .
    #$ Keskitalo imašta ráđi bargovuogi ja navdá mearrádusain ráđi leat mávssaheamen go vuoittahalle Finnmárkkuláhka-áššis .
    #$ Maŋemus Aursund áššis 1997:s , mas lulli sámit vuoittahalle alimusrievttis .
    #$ - Go duiskalaš vuoittahallagođii Suomas 1944 čavčča , de gesii oasi soahteveagasis Kárášjoga bokte .
    #$ Váhčira Sámisearvi vuoittahalai nissonfinálas DSJ joavkku vuosttá
    #$ Sis lei iežaset evttohus maiddái jođiheaddji ámmáhii mii vuoittahalai jienasteamis , muitala Birger Nymo .
    #$ Son vuittii diggegottis , muhto vuoittahalai lágamánnirievttis , muhto Alimusriekti mearridii ahte Sis-Finnmárkku diggegotti duopmu lei riekta .
    #$ Ovddeš boazodoalloagronoma vuoittahalai dikkis lihccunáššis Eanandoallo- ja biebmodepartementta vuostá .
    #$ Vaikko vel orro ge vuoittahallan áššis , de liikká ledje nákcen unnidit álgodulvadanplánaid , ja sápmelaččaid áššit ledje dehálaš oassin almmolaš digáštallimis .
    #$ Dásseárvui gullet sihke fápmu ja vejolašvuođat , ja ahte ii oktage govssahala vejolašvuođain buktit ovdan iežas vuoigatvuođaid ja geavahit iežas resurssaid .
    #$ Dán fáttá leat čielggadan ja guorahallan ja gávdnojit máŋggat rápportat mat nannejit ahte vaikke vel ii leat lága bokte erohus sohkabeliid gaskkas , de boazonissonat dávjá govssahallet ealáhusas .
    #$ govssahallá beanagilvvuin.
    #$ Boazoeaiggádat leat olu jagiid garrasit govssahallan biergguin .
    #$ Dát lea maiddái dehálaš vai mii eat govssahala boahtteáiggis , go vásáhusat čájehit ahte dat mii ii leat mielde GOP:s , ii vuoruhuvvo fylkkadikkis , dadjá Ellen Inga O. Hætta ( Olgeš ) .
    #$ Dan áigge ledje ruŋgolaš mánát juo buori muddui govssahallan sámegielas .
    #$ Dat soaitá dagahit , ahte boazodoallu ja eara sámi ealáhusat Norgga bealde govssáhallet márkangilvaleamis .
    #$ BEHTOHALLAN : Min Áiggi doaimmaheaddji Ann Irene Buljo lea behtohallan go govssáhalai ohcamušain .
    #$ Gieskat meannudii Hålogalándda lágamánniriekti ášši mas Guovdageainnu dievdu ( 51 ) dubmehalai diggegottis ovdal juovllaid jahkái giddagassii , go goasii gottii niibbiin nuppi dievddu diimmá giđasdálvvi .
    #$ Boazoeaiggát vuittii diggerievttis , muhto dubmehalai lágamánnerievttis .
    #$ Ii ovttasge dain dubmehallan dievdduin leat vejolašvuohta máksit dakkár buhtadussupmi , lohká advokáhtta .
    #$ Dubmehallan dievddus ja beanavuddjiin ledje iešguđetlágan čilgehusat gieskat go ášši lei dikkis .
    #$ Suoma bealde Soađegillilaš poliisa dubmehalai gearretdikkis Soađegilis máksit sáhkuid virgegeatnegasvuođa rihkkumis .
    #$ Son dubmehalai lágamánnerievttis , mii čuzii nu garrasit sutnje ahte heittii sávzadoallin .
    #$ Liikká son dubmehalai diggegottis go duopmáriid mielas ii sáhte dákkár dilis dubmet su vigiheapmin beatnatlága 14. paragráfa vuođul , mii addá lobi bissehit beatnaga mii oaguha dahje falleha lobiheamet elliid ja olbmuid .
    #$ Ii ge dakkár áššiin báljo goasse dubmehala dikkis .
    #$ Duot guokte eará leaba nissonat geat leaba dubmehallan rihkkumis náittosdili ja galgaba dalle geđgejuvvot jámas , ja nubbi gis lea ožžon jápminduomu go galgá leat Ipmila vašálaš .
    #$ Almmái lea ovdal dubmehallan juhkanvuođas vuodjimin ja sus ii leat vuodjenkoarta .
    #$ Almmái lea ovdal dubmehallan vurkkodeames ja geavaheames narkotihka , ja sus lei ain geahččalanáigi go dát dáhpáhuvve man ovddas dál dubmejuvvui .
    #$ Vuolleahkásaš gii lei áššáskuhtton gárrenoaivvis vuodján njealjejuvllagiin , ii dubmehallan diggegottis .
    #$ 26 jahkásaš dievdu , gii lea dubmehallan veagalváldináššis Johkamohkis dálvet , lea moaitán dulkoma diggegottis .
    #$ Árjja sámediggeáirras Odd Iver Sara dubmehalai áššis go su bivdojoavku lea vuodján lobiheamet ealgabivddus njealjejuvllagiiguin .
    #$ Dál galgá Eurohpá olmmošvuoigatvuođaduopmostuolu ( EOD ) ovdii ášši mas sámi bárdni lea Ruoŧas dubmehallan veagalváldináššis .
    #$ Dát guovttis geat válduiga gitta , leaba oahppásat politiijaide go leaba ovdal dubmehallan narkotihkkaáššiin .
    #$ Son dubmehallá hoavvarievttis .
    #$ Alddis lohká liikká ollu ja buriid skihpáriid giddagasas , geat eai olgguš su mot ge , vaikke eará fáŋggat dávjá badjelgehččet fáŋggaid geat leat dubmehallan veagalváldináššiin .
    #$ Dan dihte dieđus maiddái lea dehálaš geahčadit duomu ođđasit , vai maŋit áigái ii báze eahpádussii ahte Boland dubmehalai vigihisvuođas .
