  #$ Mearrasápmelaččain ledje maid olu lojes álddut , main ožžo mielkki , vuoja ja vuosttáža .
  #$ Sabys fitnodat lei ceggen lávu ja vugddii doppe duolbagáhkuid vuosttážiin ja sirahiin suvlin gáffii , ja sidjiide geat háliide ođđaáigásaš biepmu lei dieđun nai fálaldat .
  #$ Mánnu lea guolbman láđasin ja guovgá almmi máttabealde čađačuovgi vuosttážin .
  #$ Sii vuvdet maiddái importerejuvvon vuosttážiid , oljjuid ja etteha .
  #$ Go sámi bearrašis lei gussa , de lei maiddái mielkige , ja sii sáhtte ráhkadit vuosttážiid ja mielkemállásiid .
  #$ Das ožžo bierggu , mielkki , vuosttáža ja bivttasnáhkiid , ja dat lei fievrun .
  #$ Borgemánu mii láviimet juo gáfemielkki álo bohčit , ja de dahkat vel vuosttážiid .
  #$ Galbmaskáhpii ii lean báhcán eanet unna guohca ruoná vuosttáš.
  #$ Borramuša vuvdet ja nissonat ráhkadit earret eará vuosttážiid , steikejit varrabánnogáhkuid , láibot láibbiid ja vuššet guhppármáli .
  #$ Gáranas áigu seaivut ja ozada háikageaži , gos beasašii ráfis leaicidit varas vuosttážiin .
  #$ Jan Cato ja Ole Thomas beasaiga viidásit Norvegia vuosttážiin , Gina vuolgá mátkkoštanjođiheaddjin .
Cognacas lánastuvvon bohccosavodeahkki , honnetskávuhuvvon ja suovastuvvon luossa meađđeniiguin ja snøfrisk-nammasaš vuosttážiin .
  #$ Ovdal maŋimus soađi ledje olu boazoeaiggádiin gáiccat dahje sávzzat vai dábuhedje mielkki ja vuosttáža geasseorohagain .
  #$ Gusa- ja gáiccamielkkis ráhkadedje lákcamielkki , vuosttáža ja vuoja .
  #$ Dasa heŋgejedje biergguid , ja das maid atne biergomárffiid , muorjemeasttuid , vuosttáža ja iežá borramušaid .
  #$ Ja de ánuhii vuosttáža ja veagal rágui Uhcastáložii , jura bealjit das bávččagedje go Guri Garjjás leai nu issoras ruosta jietna .
  #$ Oastte mielkki , láibbi ja vuosttáža , ja jus báhcá vel ruhta de oaččut lákcajieŋa oastit !
  #$ Son lei dahkan bánnegáhkuid ja vuosttáža , mánát besse borrat nu ollu go hálidedje , sii čohkkájedje giettis ja boradedje .
  #$ Son rávve olbmuid borrat mielkebuktagiid golbmii beaivái , nu go mielkki , joghurta , loahppemielkki dahje vuosttáža vai rumaš ii sieksaluva .
  #$ Dan seammás sáhtát maid bassit márffiid vai it dárbbaš dušše láibbi borrat vaikko láibbi ala lea hui buorre bidjat vuosttáža maid .
  #$ Oasttát go , ' olbmán ' , vuosttáža ?
  #$ Oastte jáfuid , mielkki , moniid ja vuosttáža !
  #$ Moadde beaivve geahčen váldá olggos vuosttáža ja diktá vel goikat .
  #$ Ovddeš áigge ledje sihke gáiccat ja gusat geasseorohagas mielkki fidnii mánáide ja vuosttáža káffii .
  #$ vai veahá vuosttáža ?
  #$ Máinnas vaikko dien vuosttážis , maid dolastalli de cáhpagođii !
  #$ Mun dal mat máinnastan gáranasa ja riebana vuosttážis .
  #$ Áhččerohki máinnas gáranasa ja riebana vuosttážis.
  #$ Dat lei stuorát go vuosttáš .
  
  ## Mii máilmmiid, orui dego su vuosttáš áhkká, Tonetta?
  ## Rune Mikalsen lohká ahte lea kvalitehta mii mearrida galgá go lihkostuvvat Englánddas, muhto lea gelddolaš oaidnit movt dat vuosttáš guollefievrredeapmi girdiin lihkostuvvá.
  ## Girjelágádus čállá ahte dá lea vuosttáš ollislaš girjjálašvuođa historjá girji.
  ## Girjjis lea namma Mu Vuosttáš sátnegirji/Min første ordbok.
  ## Sámi vuosttáš filbmaneavttár.
  ## Vuosttáš programma gullo vuosárgga 19.beaivve.
  ## Šálloša Søderholm vuosttáš táhpa.
  ## Váldokonklušuvdna lea ahte Sámediggi vuosttáš vuorus sávvá lagat formaliserejuvvon ovttasbarggu sihke Romssa museain ja Norlándda fylkkagielddain báktedáidaga láhčima , seailluheami ja gaskkusteami hárrái .
  ## Dat mearriduvvui Stuorradikkis 2004:s ahte dat galggai jotkojuvvot rievdatkeahttá vuosttáš oassin sihke OM06:as ja OM06S:as .
  ## Ovdagoddi lea čoahkkimis 12.05.2005 sirdán ruđa maŋemus namuhuvvon prošeavttas nu ahte vuosttáš namuhuvvon prošeakta dál lea ollásit ruhtaduvvon ja biddjon johtui .
  ## - Njuolggadusat berreše čállojuvvot eambbo positiivalaččat , nu go omd. vuosttáš čuokkis .
  ## Tema vuosttáš čoahkkimis lei olmmošvierru , givssideapmi , billisteapmi .
  ## Girji Soagŋu , mas leat noveallat , bođii 1971 , ja lei vuosttáš sámegiel girji maid nisu lea čállán .
  ## Kirsti Paltto lei Sámi Girječálliid Searvvi vuosttáš jođiheaddji 1979 rájes .
  ## Ođđa teakstaoassi kapihttalii 8 Birasgáhtten ja kultursuodjaleapmi , teakstaoassái Minerálat , maŋŋá vuosttáš teakstaoasi :
  ## Bearráigeahččanlávdegoddi lea vuosttáš jahkebealis geavahan áiggis lávdegotti njuolggadusaid ja doaimmaid dovddiideapmái .
  ## Čoahkkingirjji čállit : Inga Margrethe Eira // Ellen Aina Eira 141 siidu 309 siiddus Lasáhus teakstaoassái , maŋŋá vuosttáš linjá : Boazodoalu árbevirolaš vuoigatvuođat ja boares vierut galget nannejuvvot .
  ## Sámediggi bivdá 2012 vuosttáš njealjádasjagis áššin gos Sámedikki doaibmabijuid juolludeamit biddjojit dáid prinsihpaid vuođul mat bohtet ovdán dán bušeahttačállosis .
  ## Sámediggeráđđi lea 2012 ovddas máksán vuosttáš oasi guovttegielalašvuođadoarjagis suohkaniidda ja fylkkasuohkaniidda ja doaibmadoarjaga sámi giellaguovddážiidda .
  ## Okta dain vuosttáš skuvllain davvin .
  ## Ođđa vuosttáš kuvlačuokkis Nannet orohagaid kapasitehta ja gelbbolašvuođa energiijahuksemis
