# Divvun & Giellatekno - open source grammars for Sámi and other languages
# Copyright © 2000-2010 The University of Tromsø & the Norwegian Sámi Parliament
# http://giellatekno.uit.no & http://divvun.no
#
# This program is free software; you can redistribute and/or modify
# this file under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version. The GNU General Public License
# is found at http://www.gnu.org/licenses/gpl.html. It is
# also available in the file $GTHOME/LICENSE.txt.
#
# Other licensing options are available upon request, please contact
# giellatekno@hum.uit.no or divvun@samediggi.no

# typos.tx
# This file contains common typos and their corrections separated by
# <tab> character.
# leif<tab>feil
# Corrections that consist of two or more parts are not splitted
# further in the preprocessor, because there is no way of knowing
# whether the token is multipart expression or not.
# Beware of removing sentence delimiters (.!?) in correction, since
# they may indicate sentence boundaries.
Avži	Ávži
BIVDOOAHPA	Bivdooahpa
DÁLVEJOHTIN	Dálvejohtin
Durkkihanvarri	Durkkihanvárri
Báhcánjeagil	Báhčajeagil
Báhccajeagil	Báhčajeagil
Báhcajeagil	Báhčajeagil
DUODDARIID	Duoddariid
DOVDAMEAHTTUN	Dovdameahttun
DOAVTTIRGOANSTTAT	Doavttirgoansttat
DÁLVE-	Dálve-
GUOVDAGEAIDNU	Guovdageaidnu
Goaŧáhusvihki	Goaŧohisvihki
oassálastejit	oassálastet
suovastuhttejit	suovastuhttet
Kainna	Kaina
Foslet	Hvoslef
Juigamus	Juoigamuš
Ingiris	Iŋgiris
Ingirii	Iŋgirii
Ingira	Iŋgira
Jogos	Jogo
Iehket	lehket
ođasmahtteje	ođasmahtte
lávžegeahčen	lávžegeažis
láttiluondu	látteluondu
láttieallimii	látteeallimii
láddeláččat	láddelaččat
lullevuvddiide	lullivuvddiide
lullebealla	lullebeallá
lulas	lulás
ligo	iigo
leaikásii	leaikasii
oasálastteje	oasálaste
logijahkásas	logijahkásaš
livzzavihki	livzávihki
vajálduvvojedje	vajálduvve
váilojit	váilot
Váilojit	Váilot
árvobábirmárkánat	árvobábirmárkanat
Smiehtaskasat	Smihtaskasat
čalmmiguin	čalmmiiguin
Taiwanis	Taiwanis
Sibirjás	Sibirjjás
juoida	juoidá
jagás	jagáš
eren-oamážit	erenoamážit
Guldealeaddjit	Guldaleaddjit
Čuodjilis	Čuoddjilis
álgoálbmo-giid	álgoálbmogiid
Åerjelhsaemien	Åarjelhsaemien
sága-stallamiid	ságastallamiid
seremoniain	seremoniijain
saniteahta	sanitehta
rolfFa	rOlfFa
ovdan-buktinhápmi	ovdanbuktinhápmi
okta-vuođas	oktavuođas
oassálastan	oassálastán
neavt-tár	neavttár
Kiinás	Kiinnás
joavk-kuinis	joavkkuinis
inuihttalaš	inuihtalaš
gitarra	gitárra
eren-oamáš	erenoamáš
geai-dudeaddji	geiddodeaddji
guohppárdárogielas	guohpárdárogielas
bealljebuncciid	bealljebunciid
Ivgoheasttain	Ivguheasttain
Gáivuonjoavku	Gáivuonajoavku
čuvge-juvvo	čuvgejuvvo
čuo-jahit	čuojahit
čoagga-nit	čoagganit
šiivui	siivui
čiegus-vuođaid	čiegusvuođaid
čatnojuvvon	čadnojuvvon
šangeris	šáŋŋeris
čalmmu-stahttet	čalmmustahttet
ávzzuhit	ávžžuhit
ávvu-deami	ávvudeami
ása-huvvomin	ásahuvvomin
ártisttat	artisttat
ártisttaiguin	artisttaiguin
árbevir-olaš	árbevirolaš
álbmotallaskovlla	álbmotallaskuvlla
álb-motšuoŋaid	álbmotšuoŋaid
álb-moga	álbmoga
áigges	áiggis
áigeguov-dilis	áigeguovdilis
áige-guovdilis	áigeguovdilis
áig-ge	áigge
ái-gái	áigái
vási-husain	vásihusain
vási-husaid	vásihusaid
vási-hus	vásihus
válgobargu	váldobargu
váldoovttasbargoguoim-mit	váldoovttasbargoguoimmit
váikku-hanvejolašvuođat	váikkuhanvejolašvuođat
váikku-han	váikkuhan
vuođđu-duvvojit	vuođđuduvvojit
vuostta-žettiin	vuosttažettiin
vuostažettiin	vuosttažettiin
vuosi-huvvojit	vuosihuvvojit
vuose-husbihtá	vuosehusbihtá
vuose-husaid	vuosehusaid
vuose-husa	vuosehusa
vuoim-málaččat	vuoimmálaččat
vuoim-mis	vuoimmis
vuoi-gatvuođat	vuoigatvuođat
vuimmiinnis	vuimmiinis
vugiinnis	vugiinis
viidá-seappot	viidáseappot
vibra-šuvnnaid	vibrašuvnnaid
verd-devuođas	verddevuođas
vejolaš-vuođa	vejolašvuođa
vajalduhttit	vajálduhttit
ustit-vuođadánssuin	ustitvuođadánssuin
uhccibuš	uhcibuš
Allaskuvl-las	Allaskuvllas
Artihkkela	Artihkkala
Beaivvaš	Beaivváš
Beassašfestivalain	Beassášfestiválain
Biiga	Biigá
Birasspáiddár	Birasspáiddar
Davvi-Amerihka	Davvi-Amerihká
Deaiv-vadat	Deaivvadat
Dáiddáseminára	Dáiddaseminára
Eanadateknologiija	Eanadatteknologiija
Amerihkas	Amerihkás
Syktyvkarska	Syktyvkara
She-fongá	Shefonga
fál-lat	fállat
Naka-mura	Nakamura
Omas-vuonas	Omasvuonas
Olmmáivággai	Olmmáivággái
Navajo-reservahtas	Navajo-reserváhtas
Navajoat	Navajot
Nuorta-Sibirjás	Nuorta-Sibirjjás
Riđđu-festi-válas	Riddu-festiválas
musikalalaš	musihkalaš
