Boađus: 1 283
                                

    Administrative texts –
Muhto juos dulka ii vanat njuolggadusaid , massá geavaheaddji álkit luohttámuša ja     geassáda     iežas sisa .  #DE-Ill (refl)
Juos boares olmmoš ii beasa servvoštallat bearrašiin ja ránnjáiguin , ja juos sus ii leat mihkkege jierpmálaš doaimmaid , de son sáhttá šlundut guhkes áigái ,     geassádit     iežas sisa , iežas máilbmái ja oažžut fysihkalaš váttuid . #DE-Ill (refl)
Soahti gal maŋidii rusttega , muhto mášinneavvut ledje measta gárvásit biddjon go duiskkalaččat     geassádedje     1944:s . #0 (refl)
Norgga eiseválddit vuostálaste ja váide Ruošša eiseválddiide dassožii go " ruoššat " Buolbmátjohgáttis     geassádedje     ruovttoluotta ( Johnsen 1923 : 83 , 88 ) . #DE-Ill (refl)
Danin mearridii diggi ahte sii galge gáikkodit viesuideaset doppe ja     geassádit     ruovttoluotta . #DE-Ill (refl)
Jus siidaoasi jođiheaddji jápmá dahje     geassáda     ovddasvástideaddji jođiheaddjin , de manná bálddalas álggahanoassi siidaoassái ja bálddalas álggahanoasi jođiheaddji šaddá siidaoasi ođđa jođiheaddjin . #RO-Ess (refl)
Parlamentáralaš ovddasvástádus mearkkaša dábálaččat ráđđehusa dahje ovttaskas stáhtaráđi geatnegasvuođa     geassádit     go Stuoradiggi dovddaha eahpeluohttámuša mearrádusa bokte . #0 (refl)
Muhto goappašiid dáhpáhusain heaittihuvvui ášši , ja stáhta     geassádii     . #0 (refl)
YLE lea almmatge doaisttážii     geassádan     projeavttas , muhto sáddagat álggahuvvojit NRK_Sámi Radio ja Ruoŧa SVT Sámi TV ovttasbargun . #SO-Loc (refl)
YLE lea almmatge doaisttážii     geassádan     projeavttas , muhto sáddagat álggahuvvojit NRK_Sámi Radio ja Ruoŧa SVT Sámi TV ovttasbargun . #SO-Ill (refl)
YLE lea almmatge doaisttážii     geassádan     projeavttas , muhto sáddagat álggahuvvojit NRK_Sámi Radio ja Ruoŧa SVT Sámi TV ovttasbargun . #SO-Ill (refl)
Sirdin ii okto mearkkaš ahte NATO-soahteveahka     geassáda     . #0 (refl)
- Go oberst Gadaffi lea geavahan militeara fámu iežas álbmoga vuostá de eanas oassi riikkaidgaskasaš servodagain leat cealkán ahte Gadaffi lea massán jođihanlobálašvuođa ja ahte son berre     geassádit     . #0 (refl)
Mun lean ieš leamaš lahttun dan lávdegottis , muhto     geassádin     das_go nammaduvvojin stáhtačállin . #0 (refl)
Aktiivva laš mánát sáhttet     geassádit     stohkosiin , eai ohcal earáid nu olu go ovdal ja šaddat passiivvalažžan . #SO-Loc (refl)
Ollesolbmot sáhttet áinnas leat mielde stoahkama álggus mánáid eavttuid vuođul ja dasto     geassádit     das . #SO-Loc (refl)
Eará mánát sáhttet bidjagoahtit siva dáidda rieddjás mánáide , ležžet sii das dehe eai , dehe sii     geassádit     eret . #eret (refl)
Norgga boazosápmelaččaid riikasearvi lea     geassádan     eret bargojoavkku evttohusas . #eret+SO-Loc (refl)
Oaivvilda go Sámediggi ahte sámi álbmogii lea ávkkálaš go Sámediggi     geassáda     eret loahppa máilmmis eamiálbmotrivttiid julggaštusproseassas ? #eret+SO-Loc (refl)
( Dás     geassádit     meannudeames sii geat leat julggaštuvvon bealálažžan ) . #SO-Loc (refl)
Sámediggeráđđi lea váidinorgána , ja lahttu geas lea hálddašanovddasvástádus     geassáda     váidinmeannudeamis Dásseárvodoaibmabijut kapihttalis 10.2.1 , dat ráđđelahttu geas lea ovddasvástádus fágasuorggis , hálddaša ruđaid . #SO-Loc (refl)
Sámediggeráđđi lea váidinorgána , ja lahttu geas lea hálddašanovddasvástádus     geassáda     váidinmeannudeamis #SO-Loc (refl)
Sámediggeráđđi lea váidinorgána , ja lahttu geas lea hálddašanovddasvástádus     geassáda     váidinmeannudeamis Sámi váldoorganisašuvnnat kapihttalis 12.2.2 , dat ráđđelahttu geas lea ovddasvástádus fágasuorggis , hálddaša ruđaid . #SO-Loc (refl)
Sámediggeráđđi lea váidinorgána , ja lahttu geas lea hálddašanovddasvástádus     geassáda     váidinmeannudeamis Bušeahttapoasttaid maid ovdal lea hálddašan Sámi_parlamentáralaš_ráđđi – N , galgá ain SPR- N hálddašit Barentsovttasbarggu kapihttalis 11.3.1 ja eará internationála barggu kapihttalis 11.3.2 , hálddaša SPR-N . #SO-Loc (refl)
