Boađus: 156
									
	Administrative texts –
Boazu maiddái , nu movt earáge eallit , dárbbaša karbohydráhtaid ja buoiddi , maid 	joraha 	álšan ja doalaha goruda doaimmaid , oažžu lieggasa ja sáhttá lihkadit . #forvandle #<TH-Acc-Any><RO-Ess-Any>
Lassin dasa ahte boazu dárbbaša eallámuša ( proteiinnaid ja minerálaid ) , gollada boazu deahkkemássa ja 	joraha 	dán energiijan . #forvandle #<TH-Acc-Any><RO-Ess-Any>
Boazu maiddái , nu movt earáge eallit , dárbbaša karbohydráhtaid ja buoiddi , maid 	joraha 	álšan ja doalaha goruda doaimmaid , oažžu lieggasa ja sáhttá lihkadit . #forvandle #<TH-Acc-Any><RO-Ess-Any>
Lassin dasa ahte boazu dárbbaša eallámuša ( proteiinnaid ja minerálaid ) , gollada boazu deahkkemássa ja 	joraha 	dán energiijan . #forvandle #<TH-Acc-Any><RO-Ess-Any>
Ii čállojuvvo dan ge birra movt dahje 	jorahedje 	go obage gávpegálvun , dan máid bohccos válde . #forvandle #<TH-Acc-Any><RO-Ess-Any>
Dát lei áibbas earaládje go máid muđui dahke sámi guovlluid rádjesoahpameahttunvuođaiguin 1600- ja 1700-logus gos boazosápmelaččat ( johttisápmelaččat ) dávjá 	jorahedje 	#formatting error
Dat váikkuhivččii dasa ahte dát oassi ieš beassá ásahit bálddalas álggahanoasi , ja friddjabut earái 	jorahit 	doalu , gč. § 4–4 ja § 4–7 ovttas . #hand down <TH-Acc-Any>
Gealddut ja riiddut sáhttet bohciidit go iešguđetlágan fámut háliidit sámi kulturárbbi osiid ja sámi árbedieđu 	jorahit 	gávpin . #<TH-Acc-Any><RO-Ess-Any>
Gealddut ja riiddut sáhttet bohciidit go iešguđetlágan fámut háliidit sámi kulturárbbi osiid ja sámi árbedieđu 	jorahit 	gávpin . #<TH-Acc-Any><RO-Ess-Any>
Gealddut ja riiddut sáhttet bohciidit go iešguđetlágan fámut háliidit sámi kulturárbbi osiid ja sámi árbedieđu 	jorahit 	gávpin . #<TH-Acc-Any><RO-Ess-Any>
Ovdáneami bisáneapmi duojis ja meahcceealáhusain mearkkaša dan ahte váikkuhangaskaomiid ferte 	jorahit 	ovddidandoaibmabidjun dan sadjái go vuoruhit doaibmadoarjjaortnegiid . #forvandle #<TH-Acc-Any><RO-Ess-Any> 
Ovdáneami bisáneapmi duojis ja meahcceealáhusain mearkkaša dan ahte váikkuhangaskaomiid ferte 	jorahit 	ovddidandoaibmabidjun dan sadjái go vuoruhit doaibmadoarjjaortnegiid . #forvandle #<TH-Acc-Any><RO-Ess-Any> 
Gealddut ja riiddut sáhttet bohciidit go iešguđetlágan fámut háliidit sámi kulturárbbi osiid ja sámi árbedieđu 	jorahit 	gávpin . #forvandle #<TH-Acc-Any><RO-Ess-Any> 
Gealddut ja riiddut sáhttet bohciidit go iešguđetlágan fámut háliidit sámi kulturárbbi osiid ja sámi árbedieđu 	jorahit 	gávpin . #forvandle #<TH-Acc-Any><RO-Ess-Any> 
Ovdáneami bisáneapmi duojis ja meahcceealáhusain mearkkaša dan ahte váikkuhangaskaomiid ferte 	jorahit 	ovddidandoaibmabidjun dan sadjái go vuoruhit doaibmadoarjjaortnegiid . #forvandle #<TH-Acc-Any><RO-Ess-Any> 
Mii fertet juohke geađggi 	jorahit 	lokten dihte árvoháhkama . #rotere/vende #<TH-Acc-Any> 
Skajáid lahka šliipejedje ákšuid , liššáid , niibbiid ja iežá bargobiergasiid šliipageđggiin , ja mánát dat šadde 	jorahit 	dan . #rotere/vende #<TH-Acc-Any>
Sámediggi hálida 	jorahit 	ealáhuspolitihka nu ahte vuoruha ealáhusovddideami mii lea čielgasat sámi kultuvrra vuođul . #rotere/vende #<TH-Acc-Any>
Sámediggi hálida 	jorahit 	ealáhuspolitihka nu ahte vuoruha ealáhusovddideami mii lea čielgasat sámi kultuvrra vuođul . #rotere/vende #<TH-Acc-Any>
NORUT Alta rávve 	jorahit 	váikkuhangaskaomiid ovttaskas olbmuid guvlui , danne go dainna geasuhuvvošii ássan . #rotere/vende #<TH-Acc-Any>
Dán oktavuođas lea deaŧalaš 	jorahit 	foandda váikkuhangaskaomiid geavaheami ealáhuslaš doaibmaibjuid guvlui . #rotere/vende #<TH-Acc-Any><DE-Ill-Any>??
