Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	adden 	ja gudnejahttin . ¶
Jagis 1984 celkkii Olmmošvuoigatvuođa Komitea , oppalaš fuopmášumistes , ( general comment ) ártihkkalii 1 , eahpeduhtavašvuođa dasa ahte máŋggat dain stáhtain mat buktet ráportta Komiteai CPPR:a árt.1 čađaheamis , orrotleamen boastut 	adden 	ártihkkala ollislaš sisdoalu . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Sámediggi lea 	adden 	nu ahte áššeoasálaččaid gaskka lea ovttaoaivilvuohta das ahte Sámedikki sajádat ii galgga láivuduvvot . ¶
Ráđđehus lea 	adden 	dan láhkái ahte guovttegielatvuođa lassegolut lea bistevaš dilli gielddain ja fylkkagielddain main lea guovttegielat fálaldat . ¶
Maŋŋá konsultašuvnnaid Sámedikkiin nannejuvvui čielgasit finnmárkkulága paragráfas 5 ahte sámi geavaheapmi addá vuoigatvuođaid , mii mearkkaša ahte vaikke vel stáhta lea ge dan 	adden 	girdojuvvon geavaheapmin , de dat galgá leat vuođđu sihke oamastanvuoigatvuhtii ja geavahanvuoigatvuhtii . ¶
Ráđđehus lea 	adden 	dan láhkái ahte guovttegielatvuođa lassegolut lea bistevaš dilli gielddain ja fylkkagielddain main lea guovttegielat fálaldat . ¶
Maŋŋá konsultašuvnnaid Sámedikkiin nannejuvvui čielgasit finnmárkkulága paragráfas 5 ahte sámi geavaheapmi addá vuoigatvuođaid , mii mearkkaša ahte vaikke vel stáhta lea ge dan 	adden 	girdojuvvon geavaheapmin , de dat galgá leat vuođđu sihke oamastanvuoigatvuhtii ja geavahanvuoigatvuhtii . ¶
Jus julggaštus ii joavdda gosa galgá , de ferte dat ođđasit lágiduvvot vahku sisa maŋŋil go son lea ožžon dan diehtevassii dahje berre leat 	adden 	dan dahje – jus álgoáigemearri lea oanehat – seamma guhkes áigái go dát áigemearri . ¶
