[word = "alo"]
Boađus: 58
				
#	North Saami administrative corpus –
Dáppe mii dovdat iežamet 	alo 	buresboahtin . #ERR
#	Assu corpus –
- Maŋemus minuvttat leat 	alo 	buot guhkimusat , logai ádelhearrá geas ain lei veaháš jálluvuohta . #ERR
Manai ge 	alo 	bures . #ERR
- Jus olbmot 	alo 	livčče ná burešagat , de livččii buorre eallin , logai son ja geahčai dárkilit earáide . #ERR
- Galggat geavahit buot biktasiid ; muhto ovtta gávtti it galgga bidjat badjelii , dan mii lea gollin , ja láibbiid galggat borrat ja 	alo 	guođđit ovtta maid it bora . #ERR
#	Avvir corpus –
Go dan eai láve politihkarat 	alo 	dahkat . #ERR
#	North Saami facts corpus –
Nuppe dáfus vuoigatvuođat eai vuođđuduvvo politihkalaš vuoiggadeapmái ja muhtin vuoigatvuođaid evttoheapmi lea 	alo 	strategalaš válljen . #ERR
Go čájehuvvui ahte girku árvvut ja sámi árvvut eai 	alo 	heiven oktii .
Ii fidne 	alo 	oastit aiddo ilbman girjjiid . #ERR
#	Min Aigi corpus –
Ja , dieđusge dát dáhpáhuvvá 	alo 	ii dušše dappe , muhto álo jus galggašat hukset bajás ođđa institušuvnna . #ERR
Son mátkkošta 	alo 	spábbačiekčajoavkku mielde ja sáhtii veahá muitalit joavkku birra . #ERR
Soapmásat váldet 	alo 	iežaset duođasin , eaige gierdda go earát nárrohallet . #ERR
Fridtjof Berglund Báktemohkenjárggas , Kárášjogas lea 	alo 	áigge bivdán buođuin ja son lea dánge jagi bivdimin . #ERR
Boazofuođđara geavahit biebmun go dan addima lea álki stivret ja dat sisttisdoallá 	alo 	seamma olu iešguđetlágam ávdnasiid . #ERR
Tungurahua - okta dain olu čáppa vulkanain , šiega 5000 mehter 	alo 	. #ERR (alu)
Nu guittotge mis buohkain lei somá guđet guimmiideamet , vaikke 	alo 	ii leat leamašan nie .
Bossegohppi lea 	alo 	leamaš nubbin buoremussan Álttás .
Eat leat 	alo 	leamáš seamma buorit juohke čiekčamis , ja leat leamaš hui ollu čiekčamat .
Norild lea leamaš 	alo 	nana 4. ráiddu joavku .
– Dáppe leat ollu olbmot ja 	alo 	juoga dáhpáhuvvá , lohket nuorat go čilgejit manne márkanis lea nu suohtas jođašit .
Son lea 	alo 	sárgon ja málen luonddugovaid ja lea čállán ja ráhkadan govaid ovtta muitalusgirjái .
Min Áigi lea 	alo 	lassi buvttademiid bokte ruhtadan oasi typográfa virggiin .
Doppe lei stuorra gorži , mii lei 15 mehter 	alo 	, gos mii njuikkodeimmet liegga sevdjnes eahkediin .
Fertet heaitit 	alo 	leamen nu bahá . #?
– Eat divtte smávva áššážiid bilidit movttamet , go min kundarat galget 	alo 	váldot vuostá mojiin ja buriin mielain , lohká son .
– Sii hain leat 	alo 	dušše beare goarahallan ja goarahallan ja ii mihkege leat dahkkon .
Ollu ruhta ii 	alo 	čoavddus #ERR
Stuoris ja gievra , ja 	alo 	doaimmas . #ERR
Manin lea samepolidiikkariide nu dehalas ahte coahkkimiin lea alkohola 	alo 	fitnemis .
Juos du guoibmi juhkka muital sutnje ahte 	alo 	go lea juhkkan , don it halit leat suinna makkargr oktavuodain .
Sus lea 	alo 	leama » an stuorra bero » tupmi Sámi lundui .
005 - Katja ahkku ja vealja leaba illudeamin su ovddas , vaikke muhtin dárbbuide ii 	alo 	gávdno ruhta
– Rikerat ja stuimmit leat 	alo 	geasuhan mu .
Son lei 	alo 	áibbašan eret sivas go ii oaidnán maidege boahtteáiggiid Njávdámis .
Dat gal lea buorre , muhto jus geavaha ILO-169 , de berre dat 	alo 	geavahuvvot , iige dušše dalle go sátnejođiheaddjiide heive .
Vaikke muhtimat sáhttetge gađaštit , ja eai leat duinna 	alo 	ovttaoaivilis , de beasat čájehit maid don máhtat .
Ođđa barggut 	alo 	vurdet , muhto olbmot du birrasis eai leat oalle ovttasbargomovtta dál .
Lea buoret veahaš mieđihit go ahte 	alo 	nágget .
guhte ráhkista ja 	alo 	lea lihkolaš mu oaidnit ...
Sámi pasieanttat eai 	alo 	áddehala doaktáriiguin go doaktárat eai máhte sámegiela .
Eai buohkat leat liikká duinnat 	alo 	ovttaoaivilis , muhto dus lea buot maid dárbbašat ahte olbmot ipmirdit ahte du vuohki lea buoremus .
Justa dál gal leat dušše mii geas lea dát erenoamáš vuovdinvuogádat , muhto dat bohtet 	alo 	boahtit ođđa .
Mii leat 	alo 	iežamet kunddariidd luhtte , ja mii leat ruovttus ovttas bearrašiin juohke beaivve ...
ADSL lea “ 	alo 	rabas ” oktavuohta nehttii .
Bohtet 	alo 	gávdnot juoga mat gohcet leavttu ja dát unnidit dievusge surfema leavttu .
Vuođđun báhpábálvalussii eai leat šat evangelistalaš-luhtera dovddastusčállosat , muhto dál galgá vuhtiiváldit ortnegiid ja guottuid mat 	alo 	gustojit Stáhta girkus .
Ii leat 	alo 	álki eallit dáid vuordámušaiguin .
Eaktun go dáid stipeanddaid oažžu lea ahte son ferte 	alo 	dieđihit gos son lea vai besset dopeniskosiid váldit dieđikeahttá .
Ammun Peder muitala ahte sin sogas leamaš 	alo 	guvhllárat .
Ii leat 	alo 	nu jierpmálaš dušše fal čuolahit prinsihpalaš beliid ovtta áššis ja ii geahčadit áššis áššái .
Orru máŋgii nu dárbbašmeahttun dáid áššiid birra 	alo 	singuin digaštallat , dasgo mis livčče baicce eanet dárbu ovttasbargat dákkár áššiiguin .
Son muitala ahte lea 	alo 	beroštan sámegielas
Mii geat medias bargat , ja erenoamážit Min Áiggis , eat 	alo 	dovdda dien láhkai .
Vaikko dása gal sáhttá historjjálaččat bidjat stuorra gažaldatmearkka leamaš go 	alo 	nu gal .
Juohke ásahus mii bággejuvvo doammas rievdadit ođđa áigái , lea 	alo 	čájehuvvon ahte šaddá eanet geasuheaddjin ja miellagiddevažžan .
