 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
seammás go oahppit ožžot dieđuid ja 	ádde 	 ¶
Go sámelága giellanjuolggadusat biddjojuvvojedje doibmii , de čujuhuvvui dasa ahte vuoigatvuohta geavahit sámegiela galgá vuos ja ovddimusat leat dan dilis mas olbmui lea dárbu dovddahit iežas oaiviliid dárkilit ja deaivilit , ja vai 	ádde 	dan mii daddjojuvvo . ¶
Máŋgasat eai mielas muital , ahte sii eai 	ádde 	dahje dárbbašit dulkoma . ¶
Dearvvašvuođa- ja sosiálabargiid ja sápmelaččaid gaskasaš kultuvrralaš gulahallanváttisvuođat šaddet das go bargit eai dovdda eaige 	ádde 	sámiid duogáža ja sin jurddašan- ja eallinvuogi . ¶
Geavaheaddjit vásihit maid dávjá , ahte doavttir ii astta iige 	ádde 	, movt geavaheaddji ieš vásiha dearvvašvuođadilis . ¶
Lea maid mávssolaš , ahte geavaheaddji beassá muitalit dávdaovdasiiddis ja bákčasiiddis birra , ja ahte son 	ádde 	dieđuid ja rávvagiid , maid bargit sutnje addet . ¶
Sámi guovddášguovlluin fuolahit gulahallamis muhtun muddui dainna , ahte bátnedearvvašvuođačálli hállá ja/dahje/ja 	ádde 	sámegiela . ¶
Sámediggi lea váldán ovdan njuorjjogiksiášši Ráđđehusain , muhto sii eai 	ádde 	min oainnuid . ¶
Dasto bivddii ráđđi reivves čilgehusa movt Justislávdegoddi 	ádde 	ILO-konvenšuvnna nr 169 eamiálbmot vuoigatvuođaid , 13. , 14. ja 15. artihkaliid ( eaiggáduššan- , háldo- ja geavahanvuoigatvuođaid birra ja vuoigatvuođa luondduriggodagaide ) . ¶
Sámediggi lea váldán ovdan njuorjjogiksiášši Ráđđehusain , muhto sii eai 	ádde 	min oainnuid . ¶
Dasto bivddii ráđđi reivves čilgehusa movt Justislávdegoddi 	ádde 	ILO-konvenšuvnna nr 169 eamiálbmot vuoigatvuođaid , 13. , 14. ja 15. artihkaliid ( eaiggáduššan- , háldo- ja geavahanvuoigatvuođaid birra ja vuoigatvuođa luondduriggodagaide ) . ¶
Ovdabarggut čájehit ahte go divššohas lea unnitlogugielalaš ja ahte lea mearrideaddji dehálaš ahte son 	ádde 	dieđuid sisdoalu , de ferte gulahallat dulkkain . ¶
Ovdabarggut čájehit ahte go divššohas lea unnitlogugielalaš ja ahte lea mearrideaddji dehálaš ahte son 	ádde 	dieđuid sisdoalu , de ferte gulahallat dulkkain . ¶
Ovdabarggut čájehit ahte go divššohas lea unnitlogugielalaš ja ahte lea mearrideaddji dehálaš ahte son 	ádde 	dieđuid sisdoalu , de ferte gulahallat dulkkain . ¶
Vaikke máŋgga guovllus mannáge ovddasguvlui , de ii sáhte čiehkat ahte historjjálaš traummat leat kollektiivva dihtomielalašvuođa oassi ja báidnet dan mo olmmoš 	ádde 	iežas sihke servodagas ja sámi servodaga ovttaskas olmmožin . ¶
Olus eai 	ádde 	eai ge hála sámegiela . ¶
Olus eai 	ádde 	eai ge hála sámegiela . ¶
Ovdabarggut čájehit ahte go divššohas lea unnitlogugielalaš ja ahte lea mearrideaddji dehálaš ahte son 	ádde 	dieđuid sisdoalu , de ferte gulahallat dulkkain . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Dasto bivddii ráđđi reivves čilgehusa movt Justislávdegoddi 	ádde 	ILO-konvenšuvnna nr 169 eamiálbmot vuoigatvuođaid , 13. , 14. ja 15. artihkaliid ( eaiggáduššan- , háldo- ja geavahanvuoigatvuođaid birra ja vuoigatvuođa luondduriggodagaide ) . ¶
Ovdabarggut čájehit ahte go divššohas lea unnitlogugielalaš ja ahte lea mearrideaddji dehálaš ahte son 	ádde 	dieđuid sisdoalu , de ferte gulahallat dulkkain . ¶
Vaikke máŋgga guovllus mannáge ovddasguvlui , de ii sáhte čiehkat ahte historjjálaš traummat leat kollektiivva dihtomielalašvuođa oassi ja báidnet dan mo olmmoš 	ádde 	iežas sihke servodagas ja sámi servodaga ovttaskas olmmožin . ¶
Vaikke máŋgga guovllus mannáge ovddasguvlui , de ii sáhte čiehkat ahte historjjálaš traummat leat kollektiivva dihtomielalašvuođa oassi ja báidnet dan mo olmmoš 	ádde 	iežas sihke servodagas ja sámi servodaga ovttaskas olmmožin . ¶
Vaikke máŋgga guovllus mannáge ovddasguvlui , de ii sáhte čiehkat ahte historjjálaš traummat leat kollektiivva dihtomielalašvuođa oassi ja báidnet dan mo olmmoš 	ádde 	iežas sihke servodagas ja sámi servodaga ovttaskas olmmožin . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Sámediggi 	ádde 	proseassa bargojoavkku nammadeami rájes bargojoavkku evttohusa rádjai ja loahpalaš bušeahttabargovugiid šiehtadusa rádjai oktan konsultašuvdnaproseassan , mas ráđđehus proseassa áiggi okto ii sáhte mearridit makkár čovdosa birra galget leat konsultašuvnnat . ¶
Olus eai 	ádde 	eai ge hála sámegiela . ¶
Olus eai 	ádde 	eai ge hála sámegiela . ¶
Sámediggi 	ádde 	hui bures manne sámi museat leat fuolastuvvan , ja lea ovddidan museaođastusa áššin čoahkkimis Stuorradikki gielda- ja hálddašankomiteain skábmamánus . ¶
Sámediggi 	ádde 	proseassa bargojoavkku nammadeami rájes bargojoavkku evttohusa rádjai ja loahpalaš bušeahttabargovugiid šiehtadusa rádjai oktan konsultašuvdnaproseassan , mas ráđđehus proseassa áiggi okto ii sáhte mearridit makkár čovdosa birra galget leat konsultašuvnnat . ¶
Olus eai 	ádde 	eai ge hála sámegiela . ¶
Sámediggi lea váldán ovdan njuorjjogiksiášši Ráđđehusain , muhto sii eai 	ádde 	min oainnuid . ¶
Lávdegoddi 	ádde 	ahte jus Sámedikki váldesuorgi vejolaččat viiddiduvvo boahtteáiggi , de dat soaitá šaddat vuostálagaid eará hálddašanorgánaiguin ja eaktuda ahte dát gažaldagat čielggaduvvojit ja čovdojuvvojit ovdalgo mearriduvvo ahte ođđa bargamušat biddjojuvvojit Sámediggái . ¶
Lávdegoddi 	ádde 	ahte jus Sámedikki váldesuorgi vejolaččat viiddiduvvo boahtteáiggi , de dat soaitá šaddat vuostálagaid eará hálddašanorgánaiguin ja eaktuda ahte dát gažaldagat čielggaduvvojit ja čovdojuvvojit ovdalgo mearriduvvo ahte ođđa bargamušat biddjojuvvojit Sámediggái . ¶
Mii eat maid sáhte vuordit ahte Stuorradiggi dahje álbmot 	ádde 	maid mii áigut ruhtadit , organiseret ođđasit dahje vuoruhit eará láhkai , jos mii eat vuos ovdanbuvtte makkár dilli albma láhkai lea . ¶
Vai áššái gulli bealli 	ádde 	mearrádusa , de galgá vuođustus dan muddui go lea dárbbašlaš maid almmuhit njuolggadusaid sisdoalu dahje dan čuolmma mii lea mearrádusa vuođđun . ¶
Vai áššái gulli bealli 	ádde 	mearrádusa , de galgá vuođustus dan muddui go lea dárbbašlaš maid almmuhit njuolggadusaid sisdoalu dahje dan čuolmma mii lea mearrádusa vuođđun . ¶
GÁLGGAT Kandidáhtta - máhttá iešheanalaččat ja ovttas earáiguin plánet , čađahit ja reflekteret oahpaheami fágaid siskkobealde ja fágaid rastá , mas vuolggasadjin leat sámi árbevirolaš máhttu ja dutkan- ja vásáhusvuđđosaš máhttu - máhttá lágidit ja jođihit buriid ja hutkás oahppanbirrasiid - máhttá lágidit dili estehtalaš ovdánahttimii , muosáhussii ja dovddiidussii - máhttá heivehit oahpahusa iešguđetlágan ohppiid návccaide ja attáldagaide , beroštumiide ja sosiokultuvrralaš duogážii , movttiidahttit oahppanhálu , go čielgasit ovdanbuktá oahppanmihttomeriid , ja geavaha iešguđetlágan bargovugiid vai oahppit olahit mihttomeriid - máhttá árvvoštallat ja duođaštit ohppiid oahppama ja ovdáneami oahpahusa mihttomeriid ektui , rávvet nu ahte ovddida oahppama ja veahkehit ohppiid árvvoštallat iežaset oahppama - 	ádde 	teknologiija- ja mediaovdáneami servodatlaš perspektiivvaid ( dorvvolaš geavaheami , persovdnasuodjalusa , jietnadanfriddjavuođa ) ja bastá mánáid ja nuoraid veahkehit oažžut reflekterejeaddji oktavuođa digitála arenaide - máhttá kritihkalaččat reflekteret iežas ja skuvlla geavadiid go ovdánahttá oahpaheaddjerolla ja ámmátetihkalaš gažaldagaid - hálddaša njálmmálaš ja čálalaš sámegiela , máhttá ámmátlaš giellageavaheami ja máhttá oahpahit sámegillii iežas fágain . ¶
