Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	várra 	sáhttá earáhuvvat . ¶ERR
Biergu , 	várra 	, váibmu , vuoivvas ja eará siskilušat geavahuvvojit dehálaš resursan ja adnojit goikadeapmái , suovastuhttimii ja márfumii ja eará várrabiepmuid ráhkadeapmái . ¶ERR
Eanaš njuovahagain bálkásit maid divrras árbevirolaš biebmoávdnasat , nugo bohcco čoalit , 	várra 	ja buoidi , dan sivas go sis eai leat lobálaš reaiddut vára váldit dain . ¶ERR
Dál bálkásit earret eará 	várra 	, čoalit , gápmasat ja oaivvit . ¶ERR
Dál bálkásit earret eará 	várra 	, čoalit , gápmasat ja oaivvit . ¶ERR
Biergu , 	várra 	, vuoivvas ja eará sisbipmosat adnojuvvot deaŧalaš resursan ja geavahuvvojit goikadeapmái , suovasteapmái ja oppalaččat várraborramušaid ja márffiid ráhkadeapmái . ¶ERR
( Olu ruoŧelaččain lea sámi 	várra 	vaikko ieža eai dieđe . ¶ERR
Sáhtát váibmosiva oažžut ja 	várra 	suohku ja ja..ja . ¶ERR
– Bohccovárra lea liikká buorre go oktage eará 	várra 	, ja danin mun gal lean dan atnan , muitala Triumf . ¶ AMB
Dat ii galgga leat beare olu 	várra 	juohke goaikkanasas , ja várragoaikkanasat šaddet oalle guhkalaga láhtus . ¶ERR
Dábálaččat lea dákkár hárjeheapmái adnon eará 	várra 	, nugo gusa- dahje spiinnivárra , muhto dál lea ođđa njuolggadus boahtán mii i suova šat dákkár vara atnit . ¶AMB
– Njuolggadus gáibida ahte 	várra 	mii adno hárjehallamii , boahtá elliin mat ellet luonddus , eai ge giddagasas , danin lea ge bohccovárra hui buorre dása , čilge Triumf . ¶ERR
Triumf čilge ahte 	várra 	gal galmmasin bissu varasin vaikko man guhká , muhto váttisvuohta lea ahte beatnagiid galgá geasset hárjehit . ¶ERR
Mii geahččalit gávdnat movt sáhttá vurket vara , nu ahte ii dárbbaš aivve gálmmihanskábiin orrut , lohká Triumf ja joatká : – Min jurdda lea ahte vuovdit vara rámbuvrras , muhto de gáibiduvvo ahte 	várra 	bissu varasin . ¶ERR
Olmmoš dovdá ahte rupmašis álgá 	várra 	dego buljarastit . ¶ERR
Mii otnábeaivve hušas ja hoahpuiguin ealli olbmot fitnat doppe ja áibbašat juoida , man 	várra 	eat álot iežage dieđe . ¶
Okta duođalaš dáhpáhus man norgga eiseválddit álggahedje , lei dutkat earet eará geas lei sápmelaš 	várra 	Finnmárkku álbmogis . ¶ERR
Kristin Bjørklund lohká ahte sus lea sihke sámi , kveana ja dáru 	várra 	. ¶ERR
Čuoikkat sihke oidnet ja hakset , ja dainna lágiin gávdnet ealli mas lea 	várra 	oažžumis . ¶ERR
20.13 : “ Ja go muhtin olmmái veallá dievddobeali luhtte , nu go olmmái veallá nissona luhtte , de leaba soai goappašagat dahkan fastivuođa ; soai galgaba jámihuvvot , sudno 	várra 	lehkos sudno badjelis ! ¶ERR
- Vaikko máŋggageardde adden várrehusa , goitge ii nagodan son čuovvut dan , ja nu duldii ge mu 	várra 	. ¶ERR
Ja go jurddaša maid sii leat vásihan , dat gal ii 	várra 	leat nu imaš . ¶
	Várra 	goaiku hávis mii bártnis lea čalmmi bajábealde . ¶ERR
Válde ákšu ja vearastalle julggiideaset vai heivešii skuvvii , ja čizažat dadje , - Gea go lea 	várra 	golleskuova siste ! ¶ERR
Ja go muhtin olmmái veallá dievddubeale luhtte , nugo olmmái veallá nisson luhtte , de leaba soai goappašagat dahkan fastivuođa , soai galgaba jametuvvot , sudno 	várra 	lehkos sudno badjelis ! ¶ERR
Somás jurdagiid siste bisánii son fáhkkestaga ja dovddai ahte 	várra 	vel ruohtastii . ¶ERR
Dán klássas vudje čieža norgalačča , ja sii eai gal 	várra 	duhttameahttumat gal leat . ¶
	Várra 	golgagođii , ja nieida dagai jápmán . ¶ERR
De gal lohká okta dain jiehtanasain ahte bussá gal 	várra 	geassá fatnasa , go sidjiide earáide lea nu lossat . ¶
- Dovdui bures gorudis ahte 	várra 	fas golgagođii jođáneappot . ¶ERR
Mu mánáid 	várra 	lea gieđain . ¶ERR
Juo áigá jávkan Sauva-sohka ásai 	várra 	gieldda davimus osiin . ¶
Mu áhčči lei Duortnosávžilaš , muhto mus lea eanet sámi 	várra 	go suoma . ¶ERR
Jeaggegeašáddjá lei bahkkanan ja bivastuvvan ja oalle suhtus juo ovdagihtii , ja dál de sus 	várra 	oalát juo duldii . ¶ERR
Dat borrá seallaid čoliin ja sáhttá dagahit ahte 	várra 	boahtá baikkašemiin , beana sáhttá vuovssadit ja oažžut báhkkadávdda . ¶ERR ??
	Várra 	duldii – Lea han dat álo buorre ášši , go várra duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶ERR
