Boađus: 61
				
Cealkkačájeheapmi
	North Saami administrative corpus –
Dán barggu 	joatkkan 	álggahuvvojedje máŋga prošeavtta maid oktasaš ulbmil lea buktit oidnosii máhtolašvuođa nuortasámi historjjá , ovdahistorjjá ja kultuvrra birra .
Dán barggu 	joatkkan 	álggahuvvojedje máŋga prošeavtta maid oktasaš ulbmil lea buktit oidnosii máhtolašvuođa nuortasámi historjjá , ovdahistorjjá ja kultuvrra birra .
Dán barggu 	joatkkan 	álggahuvvojedje máŋga prošeavtta maid oktasaš ulbmil lea buktit oidnosii máhtolašvuođa nuortasámi historjjá , ovdahistorjjá ja kultuvrra birra .
Eambbo njuovvan ja buvttadeapmi - Go šiehtadusas leat 	joatkkan 	doarjagiid mat leat čadnon buvttadeapmái , de lea láhččojuvvon dilli nu ahte lea vejolašvuohta eambbo njuovvat ja bajidit buvttadeami , mii fas addá eaŋkil boazobargái oadjebasvuođa boahtteáigái , dadjá eanandoallo- ja biebmoministtar Terje Riis-Johansen .
Gielda galggašii beassat addit olbmuide geat orrot gielddas ovdamuni go ohcet individuálalaš lobi vuodjit mohtorfievrruin , jos ealáhusa oktavuođas lea dárbu vuodjit , dahje jos vuodjima sáhttá atnit 	joatkkan 	guovllu árbevirolaš geavaheamis .
Gielda galggašii beassat addit olbmuide geat orrot gielddas ovdamuni go ohcet individuálalaš lobi vuodjit mohtorfievrruin , jos ealáhusa oktavuođas lea dárbu vuodjit , dahje jos vuodjima sáhttá atnit 	joatkkan 	guovllu árbevirolaš geavaheamis .
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Mearriduvvo maiddái ahte dollojuvvo alladási čoahkkin 2014:s ON váldočoahkkimis , 	joatkkan 	namuhuvvon álgoálbmogiid máilmmikonferánsan , oažžun dihte oktasaš vásihusaid ja buoremus vásihusaid barggus álgoálbmogiid vuoigatvuođaid duohtan dahkamis , maiddái rahčamušaid dan ektui ahte ollašuhttit mihttomeriid mat leat ON álgoálbmot vuoigatvuođaid julggaštusas .
Mearriduvvo maiddái ahte dollojuvvo alladási čoahkkin 2014:s ON váldočoahkkimis , 	joatkkan 	namuhuvvon álgoálbmogiid máilmmikonferánsan , oažžun dihte oktasaš vásihusaid ja buoremus vásihusaid barggus álgoálbmogiid vuoigatvuođaid duohtan dahkamis , maiddái rahčamušaid dan ektui ahte ollašuhttit mihttomeriid mat leat ON álgoálbmot vuoigatvuođaid julggaštusas .
dakkár dohkkehus boahtá stáhta bealis dan barggu 	joatkkan 	ahte nannet álgoálbmogiid váikkuhanvejolašvuođaid nationála guolástuspolitihkkii .
Sámediggi deattuha ahte dakkár gieđahallanvuohki mearkkaša ahte departemeanta ovddida proposišuvnna mii lea dakkár mearraresursaláhkaevttohusa 	joatkkan 	, mii lea vuođđuduvvon dievasmeahttun premissaide ii ge leat doarvái bures árvvoštallojuvvon .
Sámediggi oinnii dan Ráđđehusa ja Sámedikki gaskasaš konsultašuvdnašiehtadusa lunddolaš 	joatkkan 	.
Sámediggi oinnii dan Ráđđehusa ja Sámedikki gaskasaš konsultašuvdnašiehtadusa lunddolaš 	joatkkan 	.
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Ovddeš bušeahttaárvalusain leat ákkastan ahte lea dárbu prošeaktavirgái ráhkadit sámediggedieđáhusa biras- ja areálaperspektiivvaid dáfus , 	joatkkan 	Konvenšuvdnii biologalaš girjáivuođa ja Agenda 21 bargui .
Ovddeš bušeahttaárvalusain leat ákkastan ahte lea dárbu prošeaktavirgái ráhkadit sámediggedieđáhusa biras- ja areálaperspektiivvaid dáfus , 	joatkkan 	Konvenšuvdnii biologalaš girjáivuođa ja Agenda 21 bargui .
Báikkálaš servodaga akšuvnna 	joatkkan 	Oarjevuonas 1995:s , álggahii daláš Oarjevuonlávdegoddi čielggadusbarggu seamma báikkálaš servodaga beales , lávdegoddi gárvvistii barggus hui johtilit ja geigii árvalusas 1996 njukčamánus .
Báikkálaš servodaga akšuvnna 	joatkkan 	Oarjevuonas 1995:s , álggahii daláš Oarjevuonlávdegoddi čielggadusbarggu seamma báikkálaš servodaga beales , lávdegoddi gárvvistii barggus hui johtilit ja geigii árvalusas 1996 njukčamánus .
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Dát lea 2001 áŋgiruššamiidda 	joatkkan 	.
Gielda galggašii beassat addit olbmuide geat orrot gielddas ovdamuni go ohcet individuálalaš lobi vuodjit mohtorfievrruin , jos ealáhusa oktavuođas lea dárbu vuodjit , dahje jos vuodjima sáhttá atnit 	joatkkan 	guovllu árbevirolaš geavaheamis .
Gielda galggašii beassat addit olbmuide geat orrot gielddas ovdamuni go ohcet individuálalaš lobi vuodjit mohtorfievrruin , jos ealáhusa oktavuođas lea dárbu vuodjit , dahje jos vuodjima sáhttá atnit 	joatkkan 	guovllu árbevirolaš geavaheamis .
Ovddeš bušeahttaárvalusain leat ákkastan ahte lea dárbu prošeaktavirgái ráhkadit sámediggedieđáhusa biras- ja areálaperspektiivvaid dáfus , 	joatkkan 	Konvenšuvdnii biologalaš girjáivuođa ja Agenda 21 bargui .
Ovddeš bušeahttaárvalusain leat ákkastan ahte lea dárbu prošeaktavirgái ráhkadit sámediggedieđáhusa biras- ja areálaperspektiivvaid dáfus , 	joatkkan 	Konvenšuvdnii biologalaš girjáivuođa ja Agenda 21 bargui .
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Jođihandoarjjaortnet lea ovddit geahččalanortnega rievdaduvvon 	joatkkan 	.
Sámediggi deattuha ahte dakkár gieđahallanvuohki mearkkaša ahte departemeanta ovddida proposišuvnna mii lea dakkár mearraresursaláhkaevttohusa 	joatkkan 	, mii lea vuođđuduvvon dievasmeahttun premissaide ii ge leat doarvái bures árvvoštallojuvvon .
