Muosehuhttimat guohtuneatnamiin nappo váikkuhit dasa ahte - bohcco guohtunáigodat oatnu , - boazu geavaha eambbo energiija , - bohccot eambbo váibet - eambbo bohccot mássojit - njuovvandeattut unnot - miesselohku unnu Iskamat mat čájehit movt boazu váibá iešguđet boazobarggus , čájehit ahte boazu váibá ja deahkit sáhttet vahágahttot , čoavjji siste sáhttá vardigoahtit ja 	varra 	sáhttá earáhuvvat . ¶
Biergu , 	varra 	, váibmu , vuoivvas ja eará siskilušat geavahuvvojit dehálaš resursan ja adnojit goikadeapmái , suovastuhttimii ja márfumii ja eará varrabiepmuid ráhkadeapmái . ¶
Eanaš njuovahagain bálkásit maid divrras árbevirolaš biebmoávdnasat , nugo bohcco čoalit , 	varra 	ja buoidi , dan sivas go sis eai leat lobálaš reaiddut vára váldit dain . ¶
Dál bálkásit earret eará 	varra 	, čoalit , gápmasat ja oaivvit . ¶
Dál bálkásit earret eará 	varra 	, čoalit , gápmasat ja oaivvit . ¶
Biergu , 	varra 	, vuoivvas ja eará sisbipmosat adnojuvvot deaŧalaš resursan ja geavahuvvojit goikadeapmái , suovasteapmái ja oppalaččat varraborramušaid ja márffiid ráhkadeapmái . ¶
( Olu ruoŧelaččain lea sámi 	varra 	vaikko ieža eai dieđe . ¶
Sáhtát váibmosiva oažžut ja 	varra 	suohku ja ja..ja . ¶
– Bohccovarra lea liikká buorre go oktage eará 	varra 	, ja danin mun gal lean dan atnan , muitala Triumf . ¶
Dat ii galgga leat beare olu 	varra 	juohke goaikkanasas , ja varragoaikkanasat šaddet oalle guhkalaga láhtus . ¶
Dábálaččat lea dákkár hárjeheapmái adnon eará 	varra 	, nugo gusa- dahje spiinnivarra , muhto dál lea ođđa njuolggadus boahtán mii i suova šat dákkár vara atnit . ¶
– Njuolggadus gáibida ahte 	varra 	mii adno hárjehallamii , boahtá elliin mat ellet luonddus , eai ge giddagasas , danin lea ge bohccovarra hui buorre dása , čilge Triumf . ¶
Triumf čilge ahte 	varra 	gal galmmasin bissu varasin vaikko man guhká , muhto váttisvuohta lea ahte beatnagiid galgá geasset hárjehit . ¶
Mii geahččalit gávdnat movt sáhttá vurket vara , nu ahte ii dárbbaš aivve gálmmihanskábiin orrut , lohká Triumf ja joatká : – Min jurdda lea ahte vuovdit vara rámbuvrras , muhto de gáibiduvvo ahte 	varra 	bissu varasin . ¶
Olmmoš dovdá ahte rupmašis álgá 	varra 	dego buljarastit . ¶
Mii otnábeaivve hušas ja hoahpuiguin ealli olbmot fitnat doppe ja áibbašat juoida , man 	varra 	eat álot iežage dieđe . ¶ERR
Okta duođalaš dáhpáhus man norgga eiseválddit álggahedje , lei dutkat earet eará geas lei sápmelaš 	varra 	Finnmárkku álbmogis . ¶
Kristin Bjørklund lohká ahte sus lea sihke sámi , kveana ja dáru 	varra 	. ¶
Čuoikkat sihke oidnet ja hakset , ja dainna lágiin gávdnet ealli mas lea 	varra 	oažžumis . ¶
20.13 : “ Ja go muhtin olmmái veallá dievddobeali luhtte , nu go olmmái veallá nissona luhtte , de leaba soai goappašagat dahkan fastivuođa ; soai galgaba jámihuvvot , sudno 	varra 	lehkos sudno badjelis ! ¶
- Vaikko máŋggageardde adden várrehusa , goitge ii nagodan son čuovvut dan , ja nu duldii ge mu 	varra 	. ¶
Ja go jurddaša maid sii leat vásihan , dat gal ii 	varra 	leat nu imaš . ¶ERR
	Varra 	goaiku hávis mii bártnis lea čalmmi bajábealde . ¶
Válde ákšu ja vearastalle julggiideaset vai heivešii skuvvii , ja čizažat dadje , - Gea go lea 	varra 	golleskuova siste ! ¶
Ja go muhtin olmmái veallá dievddubeale luhtte , nugo olmmái veallá nisson luhtte , de leaba soai goappašagat dahkan fastivuođa , soai galgaba jametuvvot , sudno 	varra 	lehkos sudno badjelis ! ¶
Somás jurdagiid siste bisánii son fáhkkestaga ja dovddai ahte 	varra 	vel ruohtastii . ¶
Dán klássas vudje čieža norgalačča , ja sii eai gal 	varra 	duhttameahttumat gal leat . ¶ERR
	Varra 	golgagođii , ja nieida dagai jápmán . ¶
De gal lohká okta dain jiehtanasain ahte bussá gal 	varra 	geassá fatnasa , go sidjiide earáide lea nu lossat . ¶ERR
- Dovdui bures gorudis ahte 	varra 	fas golgagođii jođáneappot . ¶
Mu mánáid 	varra 	lea gieđain . ¶
Juo áigá jávkan Sauva-sohka ásai 	varra 	gieldda davimus osiin . ¶ERR 
Mu áhčči lei Duortnosávžilaš , muhto mus lea eanet sámi 	varra 	go suoma . ¶
Jeaggegeašáddjá lei bahkkanan ja bivastuvvan ja oalle suhtus juo ovdagihtii , ja dál de sus 	varra 	oalát juo duldii . ¶
Dat borrá seallaid čoliin ja sáhttá dagahit ahte 	varra 	boahtá baikkašemiin , beana sáhttá vuovssadit ja oažžut báhkkadávdda . ¶ ??
	Varra 	duldii – Lea han dat álo buorre ášši , go varra duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
Varra duldii – Lea han dat álo buorre ášši , go 	varra 	duoldagoahtá , čaibmá álo movttegis Ursula Länsman rumbogieđaid maŋŋá konseartta lávddi duogábealde . ¶
Eai nu galle nissonolbmo Åstot ii loga sin guovllus vuos nu olu nissonolbmuid bivdit guovžžaid , muhto son jáhkká áiggi mielde álgit eanet ja eanet nissonolbmuid searvat maiddái guovžabivdui : – Maŋemus jagiid leat eanet nissonolbmot bivdigoahtán sarváid , ja 	varra 	álget guovžžaid maid bivdit . ¶ERR 
– Mannán ija lea 	varra 	borgan 35 centimehtera . ¶ERR
Lea bahá ahte ii jođe 	varra 	šat ja olmmoš manná nu gohčoduvvon šohkkii . ¶
Dat lei 	varra 	muhtun doppe gii áiggui dohko sisa go ii leat ovdal leamaš sisagaikun dáppe , lohká Myrli . ¶ERR
Ikte , diibmu 13.00 , oaččui Ávvir dieđu ahte muhtin lea čállán čállosa « blodbad 30/7-2011/30 » , dahje « 	varra 	ruoksadin 30/7-2011/30 » , Guovdageainnu suohkanvistti seaidnái . ¶
Turisttat eai 	varra 	de livčče gillen Romsii boahtit , baicca bisánan Budejjui , jáhka Norbye . ¶ERR
Johan Oskar Eriksen lohká ge ahte dát lea 	varra 	njealját biila mii dán dálvvi lea mannan badjel geainnu juste dákko . ¶ ERR
Ollu 	varra 	Viesus gos goddon olbmot gávdnoje lei varahuvvon mealgat . ¶
Earet eará stobus ja oađđenlanjas gos lei ollu 	varra 	, dieđiha Romssa politiijaossodaga hoavda Einar Pedersen . ¶
Issoras idja Død Snø lea issoras muitalus , gos 	varra 	golgá , oaivvit firret ja čoalit ihtet . ¶
Ja sii ledje dat áidna artisttat geat geavahe Sámi gávttiid , danne 	varra 	ledje ge čeahpimusat ? ¶ERR
– Mun dovddan ahte in lean riekta gearggus vuolgit ná guhkás , ja ná oanehis dieđuin , ja boađán gal 	varra 	áiggi golahit ovdal go duođaid ádden ahte mun galggan dáppe orrut , gitta 2010 rádjai , finakeahttá ruovttus , dadjá Kirsti , ja čilgesta ahte sii geat bohtet eará riikkain , eai oaččo lobi fitnat ruovttus , go dat sáhttá dagahit ahte eai šat boađe ruovttoluotta skuvlii . ¶ERR
Ammahal sálti lea hálbbit go sáttu ja 	varra 	eai dárbbaš čorget muohttaga eret ge luotta nalde ja nie sestet ruđa . ¶ERR
Dat gal lea ortnegis , muhto go mii oinniimet musihkkaoahpaheaddji - muhtin dievdu gii bargá mánáigárddis - geas ledje stuora tatoveringat ( govat maid lea ráhkadahttan liikii ala ) , de gal mus ruohtastii 	varra 	. ¶
Lea dušše 	varra 	mii duoldá áhci oaivvis ! ¶
Son muitala ahte lávlla lea roavvalágan , bussetkeahtes lávlla mas haksojit gápmasat , bivastat ja 	varra 	. ¶
– Maŋemus jagiid leat eanet nissonolbmot bivdigoahtán sarváid , ja 	varra 	álget guovžžaid maid bivdit . ¶ERR
Turisttat eai 	varra 	de livčče gillen Romsii boahtit , baicca bisánan Budejjui , jáhka Norbye . ¶ERR
Máŋgasat maiddai dadjet , ahte eamiálbmogiid 	varra 	ii leat vuovdimassii , čilge dutki Rauna Kuokkanen gii lea miellahttun riikkaidgaskasaš eamiálbmogiid fierpmádagas Call of the Earth mii bargá eamiálbmogiid dieđu ja intellektuála opmodaga gáhttemiin . ¶
Mu salas ledje lásemoalut , 	varra 	, gubmut ja čoalit . ¶ 
– Doppe lea 	varra 	olu oahppat . ¶ERR
